"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation"
"331","74DF","scenedesmus",14,0.963556881627087,0.0364431183729126,0.0191437380271608,0.980856261972839,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"332","75DF","scenedesmus",14,0.983953790842258,0.0160462091577422,0.0023642611235805,0.997635738876419,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"333","76D3","coelastrum",7,0.0889127701677301,0.91108722983227,0.344831341524373,0.655168658475627,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"334","76DF","scenedesmus",14,0.30255114292059,0.69744885707941,0.00112911048529672,0.998870889514703,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"335","77D3","coelastrum",8,0.0849697655172869,0.915030234482713,0.0179505365520011,0.982049463447999,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"336","77DF","scenedesmus",14,0.67042710146199,0.32957289853801,0.00016638060695913,0.999833619393041,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"337","78D3","coelastrum",8,0.559877925325255,0.440122074674745,0.030730255680451,0.969269744319549,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"338","78DF","scenedesmus",15,0.154332074213746,0.845667925786254,0.942405762753515,0.0575942372464851,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"339","79,1DF","scenedesmus",15,0.154911057467931,0.845088942532069,0.93312484127806,0.0668751587219398,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"340","79DF","scenedesmus",15,0.143831825097148,0.856168174902852,0.931795059004166,0.0682049409958337,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"341","7D3","chlorella",3,0.799915978363209,0.200084021636791,0.997499642282256,0.00250035771774421,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"342","7DF","chlorella",1,0.134974785654911,0.865025214345089,0.977288628937317,0.0227113710626829,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"343","8,1D3","chlorella",3,0.0232754267061324,0.976724573293868,0.1708368802285,0.8291631197715,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"344","80D3","coelastrum",6,0.0676344477857818,0.932365552214218,0.58182432914001,0.41817567085999,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"345","80DF","scenedesmus",15,0.130150940186926,0.869849059813074,0.943850174248128,0.0561498257518719,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"346","81DF","scenedesmus",15,0.124981631820089,0.875018368179911,0.941709767828436,0.0582902321715639,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"347","82D3","coelastrum",7,0.968141769025262,0.0318582309747383,0.31551552013267,0.68448447986733,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change"
"348","82DF","scenedesmus",15,0.134612454251801,0.865387545748199,0.941383277777348,0.0586167222226519,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"349","83D3","coelastrum",8,0.0237499044202369,0.976250095579763,0.719847779781425,0.280152220218575,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"350","84D3","coelastrum",8,0.911949307069762,0.088050692930238,0.0306717210833738,0.969328278916626,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"351","84DF","scenedesmus",15,0.138941501469463,0.861058498530537,0.939708307315187,0.0602916926848132,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"352","85DF","scenedesmus",15,0.138395812666531,0.861604187333469,0.947538110103627,0.0524618898963727,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"353","86D3","coelastrum",6,0.0238353190042709,0.976164680995729,0.429174057356615,0.570825942643385,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"354","86DF","scenedesmus",15,0.129332292926896,0.870667707073104,0.943787777594589,0.0562122224054113,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"355","87D3","scenedesmus",10,0.109568500791393,0.890431499208608,0.0395385461944383,0.960461453805562,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
