"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation"
"70","128DF","selenastrum",21,0.208335129289506,0.791664870710494,0.955750344609478,0.0442496553905222,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"71","129DF","selenastrum",22,0.016932537564636,0.983067462435364,0.977975674364693,0.0220243256353065,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"72","12D3","chlorella",3,4.16450359661087e-07,0.99999958354964,0.00896175323033188,0.991038246769668,"Increased CC","Increased GR","Increased CC
Increased GR"
"73","12DF","chlorella",1,8.89922997914196e-06,0.999991100770021,0.187289127652374,0.812710872347627,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"74","130D3","scenedesmus",11,0.0293521399047322,0.970647860095268,0.741500227902781,0.258499772097219,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"75","130DF","selenastrum",21,0.211030924115438,0.788969075884562,0.996356544319369,0.00364345568063098,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"76","131,1D3","scenedesmus",12,0.0427720568038013,0.957227943196199,0.157542996351972,0.842457003648028,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"77","131D3","scenedesmus",11,0.0110449887709371,0.988955011229063,0.00441869543545945,0.995581304564541,"Increased CC","Increased GR","Increased CC
Increased GR"
"78","131DF","selenastrum",24,0.202231740639048,0.797768259360952,0.945914675509839,0.0540853244901611,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"79","132,1D3","scenedesmus",12,0.252315943012526,0.747684056987474,0.00784816807735975,0.99215183192264,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"80","132,1DF","selenastrum",25,0.994344088219532,0.00565591178046834,0.999141809022758,0.000858190977242331,"Decreased CC","Decreased GR","Decreased CC
Decreased GR"
"81","132D3","scenedesmus",12,0.322739697216554,0.677260302783446,0.0468687751379452,0.953131224862055,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"82","132DF","selenastrum",24,0.0378487970176158,0.962151202982384,0.873134286894559,0.126865713105441,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
