Group	asv
96D31	ASV00029
97D31	ASV00004
98D31	ASV00058
98_D3	ASV14513
99D3	ASV00003
99D31	ASV00012
9D3	ASV00031
9D31	ASV00001
9p2D31	ASV00064
S10OMO	ASV00063
S11	ASV00066
S12	ASV00001
S13	ASV00014
S17A	ASV00001
S18	ASV00019
S19AB	ASV00019
S2	ASV00008
S21	ASV00001
S22	ASV00001
S24	ASV00018
S26	ASV00028
S27	ASV00009
S29	ASV00060
S30W	ASV00001
S31	ASV00008
S32AB	ASV00008
S33	ASV00003
S34	ASV00010
S5	ASV00009
S6	ASV00028
S7	ASV00052
S8	ASV00010
103_D3	ASV00002
119_D3	ASV00002
120_D3	ASV00026
147_D3	ASV00002
163_D3	ASV00002
185_D3	ASV00002
206_D3	ASV00002
218_D3	ASV00002
250_D3	ASV00002
35_D3	ASV00002
86_D3	ASV00043
