Well,Isolate
B2,207D3
B3,207D3
B4,207D3
B5,"124,3DF"
B6,"124,3DF"
B7,"124,3DF"
B8,202D3
B9,202D3
B10,202D3
B11,AC
C2,137DF
C3,137DF
C4,137DF
C5,240D3
C6,240D3
C7,240D3
C8,232D3
C9,232D3
C10,232D3
C11,AC
D2,246D3
D3,246D3
D4,246D3
D5,223D3
D6,223D3
D7,223D3
D8,214D3
D9,214D3
D10,214D3
D11,AC
E2,123DF
E3,123DF
E4,123DF
E5,148DF
E6,148DF
E7,148DF
E8,134DF
E9,134DF
E10,134DF
E11,AC
F2,226D3
F3,226D3
F4,226D3
F5,238D3
F6,238D3
F7,238D3
F8,149DF
F9,149DF
F10,149DF
F11,MC
G2,211D3
G3,211D3
G4,211D3
G5,221D3
G6,221D3
G7,221D3
G8,220D3
G9,220D3
G10,220D3
G11,MC
