Well,Isolate
B2,"124,2DF"
B3,"124,2DF"
B4,"124,2DF"
B5,236D3
B6,236D3
B7,236D3
B8,244D3
B9,244D3
B10,244D3
B11,AC
C2,140DF
C3,140DF
C4,140DF
C5,153DF
C6,153DF
C7,153DF
C8,217D3
C9,217D3
C10,217D3
C11,AC
D2,129DF
D3,129DF
D4,129DF
D5,"124,4DF"
D6,"124,4DF"
D7,"124,4DF"
D8,237D3
D9,237D3
D10,237D3
D11,AC
E2,209D3
E3,209D3
E4,209D3
E5,210D3
E6,210D3
E7,210D3
E8,"144,1DF"
E9,"144,1DF"
E10,"144,1DF"
E11,AC
F2,142DF
F3,142DF
F4,142DF
F5,152DF
F6,152DF
F7,152DF
F8,230D3
F9,230D3
F10,230D3
F11,MC
G2,224D3
G3,224D3
G4,224D3
G5,233D3
G6,233D3
G7,233D3
G8,"128,1DF"
G9,"128,1DF"
G10,"128,1DF"
G11,MC
