"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",53,"SPL1",2021-02-26 15:59:54
"C2",82.1,"SPL2",2021-02-26 15:59:54
"D2",46.4,"SPL3",2021-02-26 15:59:54
"E2",123,"SPL4",2021-02-26 15:59:54
"F2",47.8,"SPL5",2021-02-26 15:59:54
"G2",122,"SPL6",2021-02-26 15:59:54
"B3",50.7,"SPL7",2021-02-26 15:59:54
"C3",88.4,"SPL8",2021-02-26 15:59:54
"D3",43.2,"SPL9",2021-02-26 15:59:54
"E3",115,"SPL10",2021-02-26 15:59:54
"F3",48,"SPL11",2021-02-26 15:59:54
"G3",118,"SPL12",2021-02-26 15:59:54
"B4",46.3,"SPL13",2021-02-26 15:59:54
"C4",88.1,"SPL14",2021-02-26 15:59:54
"D4",46,"SPL15",2021-02-26 15:59:54
"E4",128,"SPL16",2021-02-26 15:59:54
"F4",43.4,"SPL17",2021-02-26 15:59:54
"G4",106,"SPL18",2021-02-26 15:59:54
"B5",132,"SPL19",2021-02-26 15:59:54
"C5",44,"SPL20",2021-02-26 15:59:54
"D5",48.1,"SPL21",2021-02-26 15:59:54
"E5",76.4,"SPL22",2021-02-26 15:59:54
"F5",73.9,"SPL23",2021-02-26 15:59:54
"G5",148,"SPL24",2021-02-26 15:59:54
"B6",125,"SPL25",2021-02-26 15:59:54
"C6",47.7,"SPL26",2021-02-26 15:59:54
"D6",41,"SPL27",2021-02-26 15:59:54
"E6",80.6,"SPL28",2021-02-26 15:59:54
"F6",66.1,"SPL29",2021-02-26 15:59:54
"G6",142,"SPL30",2021-02-26 15:59:54
"B7",108,"SPL31",2021-02-26 15:59:54
"C7",27.4,"SPL32",2021-02-26 15:59:54
"D7",43.6,"SPL33",2021-02-26 15:59:54
"E7",75.1,"SPL34",2021-02-26 15:59:54
"F7",63,"SPL35",2021-02-26 15:59:54
"G7",128,"SPL36",2021-02-26 15:59:54
"B8",47.1,"SPL37",2021-02-26 15:59:54
"C8",138,"SPL38",2021-02-26 15:59:54
"D8",130,"SPL39",2021-02-26 15:59:54
"E8",39.8,"SPL40",2021-02-26 15:59:54
"F8",40.2,"SPL41",2021-02-26 15:59:54
"G8",59.3,"SPL42",2021-02-26 15:59:54
"B9",40,"SPL43",2021-02-26 15:59:54
"C9",115,"SPL44",2021-02-26 15:59:54
"D9",128,"SPL45",2021-02-26 15:59:54
"E9",36.1,"SPL46",2021-02-26 15:59:54
"F9",36.1,"SPL47",2021-02-26 15:59:54
"G9",55.1,"SPL48",2021-02-26 15:59:54
"B10",43.1,"SPL49",2021-02-26 15:59:54
"C10",117,"SPL50",2021-02-26 15:59:54
"D10",119,"SPL51",2021-02-26 15:59:54
"E10",33.3,"SPL52",2021-02-26 15:59:54
"F10",36.2,"SPL53",2021-02-26 15:59:54
"G10",55.9,"SPL54",2021-02-26 15:59:54
"B11",37.9,"SPL55",2021-02-26 15:59:54
"C11",40.3,"SPL56",2021-02-26 15:59:54
"D11",49.7,"SPL57",2021-02-26 15:59:54
"E11",41.1,"SPL58",2021-02-26 15:59:54
"F11",1.56,"SPL59",2021-02-26 15:59:54
"G11",2,"SPL60",2021-02-26 15:59:54
