Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,36D3
B3,38D3
B4,40D3
B5,44D3
B6,46D3
B7,AC
B8,AC
B9,AC
B10,AC
B11,AC
B12,MC
C1,MC
C2,36D3
C3,38D3
C4,40D3
C5,44D3
C6,46D3
C7,AC
C8,AC
C9,AC
C10,AC
C11,AC
C12,MC
D1,MC
D2,36D3
D3,38D3
D4,40D3
D5,44D3
D6,46D3
D7,AC
D8,AC
D9,AC
D10,AC
D11,AC
D12,MC
E1,MC
E2,"36,1D3"
E3,39D3
E4,42D3
E5,45D3
E6,Prob_Ac
E7,AC
E8,AC
E9,AC
E10,AC
E11,AC
E12,MC
F1,MC
F2,"36,1D3"
F3,39D3
F4,42D3
F5,45D3
F6,Prob_Ac
F7,AC
F8,AC
F9,AC
F10,AC
F11,MC
F12,MC
G1,MC
G2,"36,1D3"
G3,39D3
G4,42D3
G5,45D3
G6,Prob_Ac
G7,AC
G8,AC
G9,AC
G10,AC
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
