"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",2,"SPL1",2019-11-08 15:55:23
"C2",2,"SPL2",2019-11-08 15:55:23
"D2",3,"SPL3",2019-11-08 15:55:23
"E2",2,"SPL4",2019-11-08 15:55:23
"F2",2,"SPL5",2019-11-08 15:55:23
"G2",3,"SPL6",2019-11-08 15:55:23
"B3",4,"SPL7",2019-11-08 15:55:23
"C3",2,"SPL8",2019-11-08 15:55:23
"D3",3,"SPL9",2019-11-08 15:55:23
"E3",3,"SPL10",2019-11-08 15:55:23
"F3",2,"SPL11",2019-11-08 15:55:23
"G3",2,"SPL12",2019-11-08 15:55:23
"B4",2,"SPL13",2019-11-08 15:55:23
"C4",2,"SPL14",2019-11-08 15:55:23
"D4",3,"SPL15",2019-11-08 15:55:23
"E4",3,"SPL16",2019-11-08 15:55:23
"F4",3,"SPL17",2019-11-08 15:55:23
"G4",3,"SPL18",2019-11-08 15:55:23
"B5",2,"SPL19",2019-11-08 15:55:23
"C5",3,"SPL20",2019-11-08 15:55:23
"D5",3,"SPL21",2019-11-08 15:55:23
"E5",3,"SPL22",2019-11-08 15:55:23
"F5",4,"SPL23",2019-11-08 15:55:23
"G5",3,"SPL24",2019-11-08 15:55:23
"B6",4,"SPL25",2019-11-08 15:55:23
"C6",3,"SPL26",2019-11-08 15:55:23
"D6",2,"SPL27",2019-11-08 15:55:23
"E6",2,"SPL28",2019-11-08 15:55:23
"F6",2,"SPL29",2019-11-08 15:55:23
"G6",3,"SPL30",2019-11-08 15:55:23
"B7",2,"SPL31",2019-11-08 15:55:23
"C7",3,"SPL32",2019-11-08 15:55:23
"D7",2,"SPL33",2019-11-08 15:55:23
"E7",3,"SPL34",2019-11-08 15:55:23
"F7",2,"SPL35",2019-11-08 15:55:23
"G7",3,"SPL36",2019-11-08 15:55:23
"B8",4,"SPL37",2019-11-08 15:55:23
"C8",3,"SPL38",2019-11-08 15:55:23
"D8",2,"SPL39",2019-11-08 15:55:23
"E8",2,"SPL40",2019-11-08 15:55:23
"F8",2,"SPL41",2019-11-08 15:55:23
"G8",2,"SPL42",2019-11-08 15:55:23
"B9",3,"SPL43",2019-11-08 15:55:23
"C9",3,"SPL44",2019-11-08 15:55:23
"D9",3,"SPL45",2019-11-08 15:55:23
"E9",2,"SPL46",2019-11-08 15:55:23
"F9",2,"SPL47",2019-11-08 15:55:23
"G9",3,"SPL48",2019-11-08 15:55:23
"B10",2,"SPL49",2019-11-08 15:55:23
"C10",2,"SPL50",2019-11-08 15:55:23
"D10",3,"SPL51",2019-11-08 15:55:23
"E10",3,"SPL52",2019-11-08 15:55:23
"F10",3,"SPL53",2019-11-08 15:55:23
"G10",3,"SPL54",2019-11-08 15:55:23
"B11",2,"SPL55",2019-11-08 15:55:23
"C11",3,"SPL56",2019-11-08 15:55:23
"D11",2,"SPL57",2019-11-08 15:55:23
"E11",2,"SPL58",2019-11-08 15:55:23
"F11",2,"SPL59",2019-11-08 15:55:23
"G11",2,"SPL60",2019-11-08 15:55:23
