"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"A1",1,"SPL1",2019-11-11 11:42:01
"B1",2,"SPL2",2019-11-11 11:42:01
"C1",2,"SPL3",2019-11-11 11:42:01
"D1",1,"SPL4",2019-11-11 11:42:01
"E1",4,"SPL5",2019-11-11 11:42:01
"F1",2,"SPL6",2019-11-11 11:42:01
"G1",2,"SPL7",2019-11-11 11:42:01
"H1",3,"SPL8",2019-11-11 11:42:01
"A2",3,"SPL9",2019-11-11 11:42:01
"B2",44,"SPL10",2019-11-11 11:42:01
"C2",44,"SPL11",2019-11-11 11:42:01
"D2",44,"SPL12",2019-11-11 11:42:01
"E2",55,"SPL13",2019-11-11 11:42:01
"F2",50,"SPL14",2019-11-11 11:42:01
"G2",51,"SPL15",2019-11-11 11:42:01
"H2",2,"SPL16",2019-11-11 11:42:01
"A3",2,"SPL17",2019-11-11 11:42:01
"B3",44,"SPL18",2019-11-11 11:42:01
"C3",47,"SPL19",2019-11-11 11:42:01
"D3",41,"SPL20",2019-11-11 11:42:01
"E3",51,"SPL21",2019-11-11 11:42:01
"F3",47,"SPL22",2019-11-11 11:42:01
"G3",53,"SPL23",2019-11-11 11:42:01
"H3",2,"SPL24",2019-11-11 11:42:01
"A4",2,"SPL25",2019-11-11 11:42:01
"B4",41,"SPL26",2019-11-11 11:42:01
"C4",54,"SPL27",2019-11-11 11:42:01
"D4",46,"SPL28",2019-11-11 11:42:01
"E4",62,"SPL29",2019-11-11 11:42:01
"F4",61,"SPL30",2019-11-11 11:42:01
"G4",59,"SPL31",2019-11-11 11:42:01
"H4",3,"SPL32",2019-11-11 11:42:01
"A5",1,"SPL33",2019-11-11 11:42:01
"B5",14,"SPL34",2019-11-11 11:42:01
"C5",44,"SPL35",2019-11-11 11:42:01
"D5",50,"SPL36",2019-11-11 11:42:01
"E5",56,"SPL37",2019-11-11 11:42:01
"F5",59,"SPL38",2019-11-11 11:42:01
"G5",63,"SPL39",2019-11-11 11:42:01
"H5",2,"SPL40",2019-11-11 11:42:01
"A6",1,"SPL41",2019-11-11 11:42:01
"B6",20,"SPL42",2019-11-11 11:42:01
"C6",22,"SPL43",2019-11-11 11:42:01
"D6",19,"SPL44",2019-11-11 11:42:01
"E6",270,"SPL45",2019-11-11 11:42:01
"F6",220,"SPL46",2019-11-11 11:42:01
"G6",291,"SPL47",2019-11-11 11:42:01
"H6",4,"SPL48",2019-11-11 11:42:01
"A7",2,"SPL49",2019-11-11 11:42:01
"B7",35,"SPL50",2019-11-11 11:42:01
"C7",39,"SPL51",2019-11-11 11:42:01
"D7",38,"SPL52",2019-11-11 11:42:01
"E7",31,"SPL53",2019-11-11 11:42:01
"F7",42,"SPL54",2019-11-11 11:42:01
"G7",41,"SPL55",2019-11-11 11:42:01
"H7",3,"SPL56",2019-11-11 11:42:01
"A8",2,"SPL57",2019-11-11 11:42:01
"B8",37,"SPL58",2019-11-11 11:42:01
"C8",33,"SPL59",2019-11-11 11:42:01
"D8",38,"SPL60",2019-11-11 11:42:01
"E8",45,"SPL61",2019-11-11 11:42:01
"F8",39,"SPL62",2019-11-11 11:42:01
"G8",47,"SPL63",2019-11-11 11:42:01
"H8",2,"SPL64",2019-11-11 11:42:01
"A9",0,"SPL65",2019-11-11 11:42:01
"B9",41,"SPL66",2019-11-11 11:42:01
"C9",37,"SPL67",2019-11-11 11:42:01
"D9",31,"SPL68",2019-11-11 11:42:01
"E9",34,"SPL69",2019-11-11 11:42:01
"F9",40,"SPL70",2019-11-11 11:42:01
"G9",41,"SPL71",2019-11-11 11:42:01
"H9",2,"SPL72",2019-11-11 11:42:01
"A10",2,"SPL73",2019-11-11 11:42:01
"B10",44,"SPL74",2019-11-11 11:42:01
"C10",34,"SPL75",2019-11-11 11:42:01
"D10",31,"SPL76",2019-11-11 11:42:01
"E10",39,"SPL77",2019-11-11 11:42:01
"F10",41,"SPL78",2019-11-11 11:42:01
"G10",42,"SPL79",2019-11-11 11:42:01
"H10",3,"SPL80",2019-11-11 11:42:01
"A11",0,"SPL81",2019-11-11 11:42:01
"B11",37,"SPL82",2019-11-11 11:42:01
"C11",41,"SPL83",2019-11-11 11:42:01
"D11",45,"SPL84",2019-11-11 11:42:01
"E11",33,"SPL85",2019-11-11 11:42:01
"F11",3,"SPL86",2019-11-11 11:42:01
"G11",1,"SPL87",2019-11-11 11:42:01
"H11",0,"SPL88",2019-11-11 11:42:01
"A12",1,"SPL89",2019-11-11 11:42:01
"B12",1,"SPL90",2019-11-11 11:42:01
"C12",2,"SPL91",2019-11-11 11:42:01
"D12",3,"SPL92",2019-11-11 11:42:01
"E12",1,"SPL93",2019-11-11 11:42:01
"F12",2,"SPL94",2019-11-11 11:42:01
"G12",0,"SPL95",2019-11-11 11:42:01
"H12",2,"SPL96",2019-11-11 11:42:01
