"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",103,"SPL1",2019-11-14 12:49:23
"C2",104,"SPL2",2019-11-14 12:49:23
"D2",112,"SPL3",2019-11-14 12:49:23
"E2",429,"SPL4",2019-11-14 12:49:23
"F2",392,"SPL5",2019-11-14 12:49:23
"G2",436,"SPL6",2019-11-14 12:49:23
"B3",191,"SPL7",2019-11-14 12:49:23
"C3",403,"SPL8",2019-11-14 12:49:23
"D3",185,"SPL9",2019-11-14 12:49:23
"E3",380,"SPL10",2019-11-14 12:49:23
"F3",402,"SPL11",2019-11-14 12:49:23
"G3",435,"SPL12",2019-11-14 12:49:23
"B4",390,"SPL13",2019-11-14 12:49:23
"C4",470,"SPL14",2019-11-14 12:49:23
"D4",410,"SPL15",2019-11-14 12:49:23
"E4",337,"SPL16",2019-11-14 12:49:23
"F4",308,"SPL17",2019-11-14 12:49:23
"G4",300,"SPL18",2019-11-14 12:49:23
"B5",556,"SPL19",2019-11-14 12:49:23
"C5",570,"SPL20",2019-11-14 12:49:23
"D5",587,"SPL21",2019-11-14 12:49:23
"E5",531,"SPL22",2019-11-14 12:49:23
"F5",559,"SPL23",2019-11-14 12:49:23
"G5",613,"SPL24",2019-11-14 12:49:23
"B6",447,"SPL25",2019-11-14 12:49:23
"C6",304,"SPL26",2019-11-14 12:49:23
"D6",310,"SPL27",2019-11-14 12:49:23
"E6",1599,"SPL28",2019-11-14 12:49:23
"F6",1677,"SPL29",2019-11-14 12:49:23
"G6",1687,"SPL30",2019-11-14 12:49:23
"B7",219,"SPL31",2019-11-14 12:49:23
"C7",224,"SPL32",2019-11-14 12:49:23
"D7",236,"SPL33",2019-11-14 12:49:23
"E7",222,"SPL34",2019-11-14 12:49:23
"F7",225,"SPL35",2019-11-14 12:49:23
"G7",236,"SPL36",2019-11-14 12:49:23
"B8",220,"SPL37",2019-11-14 12:49:23
"C8",194,"SPL38",2019-11-14 12:49:23
"D8",189,"SPL39",2019-11-14 12:49:23
"E8",223,"SPL40",2019-11-14 12:49:23
"F8",231,"SPL41",2019-11-14 12:49:23
"G8",225,"SPL42",2019-11-14 12:49:23
"B9",207,"SPL43",2019-11-14 12:49:23
"C9",194,"SPL44",2019-11-14 12:49:23
"D9",194,"SPL45",2019-11-14 12:49:23
"E9",205,"SPL46",2019-11-14 12:49:23
"F9",218,"SPL47",2019-11-14 12:49:23
"G9",216,"SPL48",2019-11-14 12:49:23
"B10",195,"SPL49",2019-11-14 12:49:23
"C10",202,"SPL50",2019-11-14 12:49:23
"D10",204,"SPL51",2019-11-14 12:49:23
"E10",223,"SPL52",2019-11-14 12:49:23
"F10",203,"SPL53",2019-11-14 12:49:23
"G10",188,"SPL54",2019-11-14 12:49:23
"B11",197,"SPL55",2019-11-14 12:49:23
"C11",195,"SPL56",2019-11-14 12:49:23
"D11",200,"SPL57",2019-11-14 12:49:23
"E11",214,"SPL58",2019-11-14 12:49:23
"F11",2,"SPL59",2019-11-14 12:49:23
"G11",1,"SPL60",2019-11-14 12:49:23
