Well,Isolate
B2,177D3
B3,177D3
B4,177D3
B5,99DF
B6,99DF
B7,99DF
B8,172D3
B9,172D3
B10,172D3
B11,AC
C2,196D3
C3,196D3
C4,196D3
C5,159D3
C6,159D3
C7,159D3
C8,178D3
C9,178D3
C10,178D3
C11,AC
D2,"199,1D3"
D3,"199,1D3"
D4,"199,1D3"
D5,"112,1DF"
D6,"112,1DF"
D7,"112,1DF"
D8,121DF
D9,121DF
D10,121DF
D11,AC
E2,"111,2DF"
E3,"111,2DF"
E4,"111,2DF"
E5,166D3
E6,166D3
E7,166D3
E8,120DF
E9,120DF
E10,120DF
E11,AC
F2,175D3
F3,175D3
F4,175D3
F5,101DF
F6,101DF
F7,101DF
F8,"103,1DF"
F9,"103,1DF"
F10,"103,1DF"
F11,MC
G2,107DF
G3,107DF
G4,107DF
G5,188D3
G6,188D3
G7,188D3
G8,183D3
G9,183D3
G10,183D3
G11,MC
