"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",271,"SPL1",2020-02-24 12:01:46
"C2",266,"SPL2",2020-02-24 12:01:46
"D2",255,"SPL3",2020-02-24 12:01:46
"E2",255,"SPL4",2020-02-24 12:01:46
"F2",257,"SPL5",2020-02-24 12:01:46
"G2",272,"SPL6",2020-02-24 12:01:46
"B3",254,"SPL7",2020-02-24 12:01:46
"C3",244,"SPL8",2020-02-24 12:01:46
"D3",226,"SPL9",2020-02-24 12:01:46
"E3",264,"SPL10",2020-02-24 12:01:46
"F3",271,"SPL11",2020-02-24 12:01:46
"G3",273,"SPL12",2020-02-24 12:01:46
"B4",275,"SPL13",2020-02-24 12:01:46
"C4",267,"SPL14",2020-02-24 12:01:46
"D4",262,"SPL15",2020-02-24 12:01:46
"E4",264,"SPL16",2020-02-24 12:01:46
"F4",265,"SPL17",2020-02-24 12:01:46
"G4",253,"SPL18",2020-02-24 12:01:46
"B5",275,"SPL19",2020-02-24 12:01:46
"C5",259,"SPL20",2020-02-24 12:01:46
"D5",278,"SPL21",2020-02-24 12:01:46
"E5",256,"SPL22",2020-02-24 12:01:46
"F5",209,"SPL23",2020-02-24 12:01:46
"G5",241,"SPL24",2020-02-24 12:01:46
"B6",270,"SPL25",2020-02-24 12:01:46
"C6",231,"SPL26",2020-02-24 12:01:46
"D6",255,"SPL27",2020-02-24 12:01:46
"E6",233,"SPL28",2020-02-24 12:01:46
"F6",259,"SPL29",2020-02-24 12:01:46
"G6",269,"SPL30",2020-02-24 12:01:46
"B7",257,"SPL31",2020-02-24 12:01:46
"C7",209,"SPL32",2020-02-24 12:01:46
"D7",213,"SPL33",2020-02-24 12:01:46
"E7",213,"SPL34",2020-02-24 12:01:46
"F7",214,"SPL35",2020-02-24 12:01:46
"G7",197,"SPL36",2020-02-24 12:01:46
"B8",263,"SPL37",2020-02-24 12:01:46
"C8",255,"SPL38",2020-02-24 12:01:46
"D8",256,"SPL39",2020-02-24 12:01:46
"E8",229,"SPL40",2020-02-24 12:01:46
"F8",220,"SPL41",2020-02-24 12:01:46
"G8",250,"SPL42",2020-02-24 12:01:46
"B9",209,"SPL43",2020-02-24 12:01:46
"C9",193,"SPL44",2020-02-24 12:01:46
"D9",272,"SPL45",2020-02-24 12:01:46
"E9",194,"SPL46",2020-02-24 12:01:46
"F9",218,"SPL47",2020-02-24 12:01:46
"G9",220,"SPL48",2020-02-24 12:01:46
"B10",277,"SPL49",2020-02-24 12:01:46
"C10",252,"SPL50",2020-02-24 12:01:46
"D10",245,"SPL51",2020-02-24 12:01:46
"E10",270,"SPL52",2020-02-24 12:01:46
"F10",268,"SPL53",2020-02-24 12:01:46
"G10",254,"SPL54",2020-02-24 12:01:46
"B11",49,"SPL55",2020-02-24 12:01:46
"C11",207,"SPL56",2020-02-24 12:01:46
"D11",200,"SPL57",2020-02-24 12:01:46
"E11",182,"SPL58",2020-02-24 12:01:46
"F11",2,"SPL59",2020-02-24 12:01:46
"G11",2,"SPL60",2020-02-24 12:01:46
