"Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier"
"3DF","chlorella","1",0.000218331197060678,0.999781668802939,0.0063444425063266,0.993655557493673,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_3DF_E3",397.760125667085,-8.56256015087369,0.0777744451456166,0.037823981555415,0.984146548199252,0.00277165165874277,FALSE
"3DF","chlorella","1",0.000218331197060678,0.999781668802939,0.0063444425063266,0.993655557493673,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_3DF_F3",379.712747957361,-8.79522083359623,0.078276451733084,0.0372208387165375,0.987462614697936,0.00242141195939403,FALSE
"3DF","chlorella","1",0.000218331197060678,0.999781668802939,0.0063444425063266,0.993655557493673,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_3DF_G3",359.030081437089,-8.84684435437397,0.0801758052036391,0.0344210971678717,0.995194866257625,0.00138090168138248,FALSE
"4DF","chlorella","1",0.00028114432239532,0.999718855677605,0.00938895113909594,0.990611048860904,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_4DF_B4",371.650065807396,-6.95254586957597,0.0615450121620801,0.0334108079496827,0.983587814890056,0.00249174149188538,FALSE
"4DF","chlorella","1",0.00028114432239532,0.999718855677605,0.00938895113909594,0.990611048860904,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_4DF_C4",377.45347341127,-6.33573325809892,0.0583643621386844,0.0368875956436931,0.966604385309482,0.00395858579099054,FALSE
"4DF","chlorella","1",0.00028114432239532,0.999718855677605,0.00938895113909594,0.990611048860904,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_4DF_D4",341.470601905029,-6.72351680863103,0.0617723633993483,0.0361431260735319,0.966458652596235,0.00388743999417312,FALSE
"5DF","chlorella","1",5.22317596815099e-07,0.999999477682403,0.00513099483059777,0.994869005169402,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_5DF_E4",483.697718190287,-10.0874770434235,0.0989034175388968,0.0378557705148047,0.980788414891155,0.0030589008401068,FALSE
"5DF","chlorella","1",5.22317596815099e-07,0.999999477682403,0.00513099483059777,0.994869005169402,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_5DF_F4",470.277752494563,-13.2277637345363,0.136843248823692,0.0422925011358945,0.98081313696377,0.0034151642287398,FALSE
"5DF","chlorella","1",5.22317596815099e-07,0.999999477682403,0.00513099483059777,0.994869005169402,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_5DF_G4",492.867811886274,-10.2012711308872,0.0890503659614095,0.0393415393707011,0.994121188397842,0.0017466899761588,FALSE
"6DF","chlorella","1",0.0141033125104294,0.985896687489571,0.0642462856439868,0.935753714356013,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_1_6DF_B5",384.829995103023,-6.45774140759133,0.0556358551059539,0.0328299174645588,0.976269477266841,0.00295513931838199,FALSE
"6DF","chlorella","1",0.0141033125104294,0.985896687489571,0.0642462856439868,0.935753714356013,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_1_6DF_C5",483.043604290126,-8.55044347071897,0.0792435548139596,0.0393325466658235,0.971716498250096,0.00387425533732615,FALSE
"6DF","chlorella","1",0.0141033125104294,0.985896687489571,0.0642462856439868,0.935753714356013,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_1_6DF_D5",353.744452571438,-7.15461442285843,0.0618994083956234,0.0324635946908736,0.979287358831499,0.00272582924477163,FALSE
"7DF","chlorella","1",0.999989917755074,1.00822449255818e-05,0.996792681286796,0.00320731871320354,"Decreased CC","Decreased GR","Decreased CC
Decreased GR","Plate_1_7DF_E5",31.3230903535811,-2.31814086993126,-0.00270010326905703,-0.00270010326905703,NA,NA,FALSE
"7DF","chlorella","1",0.999989917755074,1.00822449255818e-05,0.996792681286796,0.00320731871320354,"Decreased CC","Decreased GR","Decreased CC
Decreased GR","Plate_1_7DF_F5",7.18722960618155,-0.95111093366928,-0.0022531815739836,-0.0022531815739836,NA,NA,FALSE
"7DF","chlorella","1",0.999989917755074,1.00822449255818e-05,0.996792681286796,0.00320731871320354,"Decreased CC","Decreased GR","Decreased CC
Decreased GR","Plate_1_7DF_G5",21.5328212662751,-1.93613458557563,-0.00661768513930945,0.00511076546368242,0.292792174435586,0.00458584234657347,FALSE
"8DF","chlorella","1",0.00190319404125454,0.998096805958745,0.00024822353116926,0.999751776468831,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_8DF_B6",329.598644349931,-7.27015149839903,0.067639395031599,0.0337237115192765,0.990707916016048,0.00188563870862375,FALSE
"8DF","chlorella","1",0.00190319404125454,0.998096805958745,0.00024822353116926,0.999751776468831,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_8DF_C6",324.775171064625,-6.51390626910587,0.0610803132286251,0.0331776133241841,0.978151510156955,0.00286280759734183,FALSE
"8DF","chlorella","1",0.00190319404125454,0.998096805958745,0.00024822353116926,0.999751776468831,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_8DF_D6",287.929446307732,-6.29620038351588,0.0616506262824539,0.032726159929485,0.97660621389963,0.00292432028447533,FALSE
"9,1DF","chlorella","1",0.000774813753914446,0.999225186246085,0.0211141327710035,0.978885867228996,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_9,1DF_B7",321.111900411581,-7.0933423153246,0.0648537815272042,0.0361579257676857,0.983410632027258,0.00271137977398357,FALSE
"9,1DF","chlorella","1",0.000774813753914446,0.999225186246085,0.0211141327710035,0.978885867228996,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_9,1DF_C7",304.184457916358,-6.68600281157158,0.0629044525061836,0.0358825325159368,0.974063307303028,0.00338054067666217,FALSE
