"otu","Isolate","count","totalReads","otuMatches","readType","contamFlag","numOTUs","mixed","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","meanCC","seCC","meanGR","seGR","Domain","Phylum","Class","Order","Family","Genus"
"Otu00002","137D3",926,999,74,"miseq",FALSE,1,FALSE,"scenedesmus","13",0.722468310336636,0.277531689663364,0.29225134737347,0.70774865262653,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",453.172941997775,42.5966427415555,0.0205455039838922,0.000968451254857837,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","139D3",934,999,66,"miseq",FALSE,1,FALSE,"scenedesmus","13",0.999980434621706,1.95653782940518e-05,0.0144499407934741,0.985550059206526,"Decreased CC","Increased GR","Decreased CC
Increased GR",371.076979937837,6.48063771638427,0.0237227464408325,0.000815980002646959,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","141D3",913,999,62,"miseq",FALSE,1,FALSE,"scenedesmus","13",0.99995372256579,4.62774342101983e-05,0.0028378547604135,0.997162145239586,"Decreased CC","Increased GR","Decreased CC
Increased GR",384.790797620177,5.89889455006799,0.0212261829372578,8.81451031542507e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","143D3",879,996,115,"miseq",FALSE,1,FALSE,"scenedesmus","13",0.241078570585473,0.758921429414527,0.0382580209756818,0.961741979024318,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",935.361246950452,527.789422319805,0.0222490844291579,0.000775285788621554,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","147D3",906,1000,89,"miseq",FALSE,1,FALSE,"scenedesmus","13",0.39582855940187,0.60417144059813,0.134559794759318,0.865440205240682,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",502.012124967486,60.7674160187858,0.0216551059358761,0.00116604546095661,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","14D3",119,156,38,"miseq",FALSE,1,FALSE,"chlorella","3",0.998489067705382,0.00151093229461835,0.994617479376644,0.00538252062335586,"Decreased CC","Decreased GR","Decreased CC
Decreased GR",183.969671732774,6.08901529283314,0.045246766917865,0.00113205359100649,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","156D3",889,998,103,"miseq",FALSE,1,FALSE,"monoraphidium","17",0.0122606557310227,0.987739344268977,0.94826970026556,0.0517302997344398,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",90946.0879377344,14327.0910624422,0.00779944999270574,0.00013614318020425,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","158D3",877,1000,117,"miseq",FALSE,1,FALSE,"monoraphidium","17",0.111145760063993,0.888854239936007,0.800797935480553,0.199202064519447,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",2503.43818711032,693.804305374435,0.00939644709535171,0.000408666411365849,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","163D3",910,993,84,"miseq",FALSE,1,FALSE,"monoraphidium","19",0.0187660650524945,0.981233934947505,0.959573112068416,0.0404268879315844,"Increased CC","Decreased GR","Increased CC
Decreased GR",814.122100917737,44.1677154536073,0.0155378375831732,0.000732940534617466,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","182D3",108,939,38,"miseq",FALSE,2,TRUE,"monoraphidium","17",0.877348333223386,0.122651666776614,0.0872416525669133,0.912758347433087,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",699.757200266071,16.0729236448402,0.0128053984438466,0.000313788149969203,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","183,1D3",758,990,86,"miseq",FALSE,2,TRUE,"monoraphidium","19",0.031817133514051,0.968182866485949,0.977067201324332,0.0229327986756679,"Increased CC","Decreased GR","Increased CC
Decreased GR",1001.01792332938,101.304452437404,0.0150078051254132,0.000485380425132601,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","185D3",896,998,64,"miseq",FALSE,1,FALSE,"monoraphidium","16",0.0103866837860051,0.989613316213995,0.973311817220545,0.0266881827794545,"Increased CC","Decreased GR","Increased CC
Decreased GR",1345.61376368943,111.669293062164,0.0109672273860833,0.000283541578624504,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","190D3",359,973,47,"miseq",FALSE,2,TRUE,"monoraphidium","16",0.0601541111204741,0.939845888879526,0.953594740574912,0.0464052594250877,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR",1031.86449368355,95.4326428625599,0.0115849374593639,0.000421321453144012,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","197D3",697,989,40,"miseq",FALSE,2,TRUE,"monoraphidium","19",0.00726840495024574,0.992731595049754,0.921692999587052,0.0783070004129476,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",862.539960710162,41.0875352491745,0.0163810351201456,0.000409894497075999,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","1,1DF",267,863,56,"miseq",FALSE,2,TRUE,"chlorella","1",0.00050505472440741,0.999494945275593,0.215150630765808,0.784849369234192,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",322.915928466074,9.25035643062631,0.0514861973480869,0.000628584835824563,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","201D3",176,937,45,"miseq",FALSE,2,TRUE,"monoraphidium","16",0.0973199128569864,0.902680087143014,0.900631703663993,0.0993682963360066,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",942.348951653536,13.7953439849283,0.0123447184959246,6.58150128168467e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","202D3",159,960,45,"miseq",FALSE,2,TRUE,"selenastrum","23",0.954059569430008,0.0459404305699918,0.00287588976417764,0.997124110235822,"Decreased CC","Increased GR","Decreased CC
Increased GR",433.878352861529,17.3525782455448,0.0267771410389399,0.00135695369315993,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","206D3",931,999,69,"miseq",FALSE,1,FALSE,"selenastrum","25",0.0109845459118506,0.989015454088149,0.791279596603305,0.208720403396695,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",518.393300343539,20.061387741959,0.0213483487228612,0.000610176006644541,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","209D3",129,978,27,"miseq",FALSE,2,TRUE,"selenastrum","22",0.0255917903168164,0.974408209683184,0.646536945247873,0.353463054752127,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",381.476123886544,7.53248700091272,0.0285537231478909,0.00257921769463935,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","218D3",889,989,80,"miseq",FALSE,1,FALSE,"selenastrum","25",0.00104417191153784,0.998955828088462,0.85075248961867,0.14924751038133,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",510.725700672058,11.3919110255453,0.0210983629593139,0.000585849708340059,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","24D3",856,982,71,"miseq",FALSE,1,FALSE,"chlorella","4",0.00246357430066158,0.997536425699338,0.265078309407949,0.734921690592051,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",426.510198323703,16.9181708260839,0.0669513640748766,0.00258883035199456,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","250D3",906,996,78,"miseq",FALSE,1,FALSE,"selenastrum","25",0.00534446576219892,0.994655534237801,0.939782008278141,0.060217991721859,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",478.195547967901,5.93735625367056,0.0206697498003905,0.000352865123047065,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","34,1D3",773,908,78,"miseq",FALSE,1,FALSE,"chlorella","4",0.986408235529159,0.0135917644708405,0.848829296893071,0.151170703106929,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change",191.131251800691,6.61968468468238,0.0576328121584608,0.00534764960567842,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
