"otu","Isolate","count","totalReads","otuMatches","numOTUs","mixed","Domain","Phylum","Class","Order","Family","Genus"
"Otu25700","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu09070","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu10953","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu25527","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu07237","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified"
"Otu00602","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified"
"Otu18566","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified"
"Otu27054","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified"
"Otu07297","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu20691","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu27517","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu07637","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu01009","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
