"Well","host_species","plate_no","Day_isolated","Isolate","exact_isolate","read_day","read_time","read_timeHours","ChlA_100","day_mean","day_sd","Outlier"
"E6","chlorella","1","D31","9DF","Plate_1_9DF_E6","0",2019-11-08 15:01:59,0,3,2.33333333333333,1.15470053837925,FALSE
"F6","chlorella","1","D31","9DF","Plate_1_9DF_F6","0",2019-11-08 15:01:59,0,1,2.33333333333333,1.15470053837925,FALSE
"G6","chlorella","1","D31","9DF","Plate_1_9DF_G6","0",2019-11-08 15:01:59,0,3,2.33333333333333,1.15470053837925,FALSE
"H6","chlorella","1","Ctrl","MC","Plate_1_MC_H6","0",2019-11-08 15:01:59,0,3,1.86842105263158,0.528693066404059,TRUE
"A7","chlorella","1","Ctrl","MC","Plate_1_MC_A7","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B7","chlorella","1","D31","9,1DF","Plate_1_9,1DF_B7","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"C7","chlorella","1","D31","9,1DF","Plate_1_9,1DF_C7","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"D7","chlorella","1","D31","9,1DF","Plate_1_9,1DF_D7","0",2019-11-08 15:01:59,0,3,2.33333333333333,0.577350269189626,FALSE
"E7","chlorella","1","D31","9,2DF","Plate_1_9,2DF_E7","0",2019-11-08 15:01:59,0,3,2.66666666666667,0.577350269189626,FALSE
"F7","chlorella","1","D31","9,2DF","Plate_1_9,2DF_F7","0",2019-11-08 15:01:59,0,3,2.66666666666667,0.577350269189626,FALSE
"G7","chlorella","1","D31","9,2DF","Plate_1_9,2DF_G7","0",2019-11-08 15:01:59,0,2,2.66666666666667,0.577350269189626,FALSE
"H7","chlorella","1","Ctrl","MC","Plate_1_MC_H7","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"A8","chlorella","1","Ctrl","MC","Plate_1_MC_A8","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B8","chlorella","1","D31","10DF","Plate_1_10DF_B8","0",2019-11-08 15:01:59,0,2,2.66666666666667,0.577350269189626,FALSE
"C8","chlorella","1","D31","10DF","Plate_1_10DF_C8","0",2019-11-08 15:01:59,0,3,2.66666666666667,0.577350269189626,FALSE
"D8","chlorella","1","D31","10DF","Plate_1_10DF_D8","0",2019-11-08 15:01:59,0,3,2.66666666666667,0.577350269189626,FALSE
"E8","chlorella","1","D31","11DF","Plate_1_11DF_E8","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"F8","chlorella","1","D31","11DF","Plate_1_11DF_F8","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"G8","chlorella","1","D31","11DF","Plate_1_11DF_G8","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"H8","chlorella","1","Ctrl","MC","Plate_1_MC_H8","0",2019-11-08 15:01:59,0,1,1.86842105263158,0.528693066404059,FALSE
"A9","chlorella","1","Ctrl","MC","Plate_1_MC_A9","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B9","chlorella","1","D31","12DF","Plate_1_12DF_B9","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"C9","chlorella","1","D31","12DF","Plate_1_12DF_C9","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"D9","chlorella","1","D31","12DF","Plate_1_12DF_D9","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"E9","chlorella","1","D31","12,1DF","Plate_1_12,1DF_E9","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"F9","chlorella","1","D31","12,1DF","Plate_1_12,1DF_F9","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"G9","chlorella","1","D31","12,1DF","Plate_1_12,1DF_G9","0",2019-11-08 15:01:59,0,3,3,0,FALSE
"H9","chlorella","1","Ctrl","MC","Plate_1_MC_H9","0",2019-11-08 15:01:59,0,1,1.86842105263158,0.528693066404059,FALSE
"A10","chlorella","1","Ctrl","MC","Plate_1_MC_A10","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B10","chlorella","1","D31","13DF","Plate_1_13DF_B10","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"C10","chlorella","1","D31","13DF","Plate_1_13DF_C10","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"D10","chlorella","1","D31","13DF","Plate_1_13DF_D10","0",2019-11-08 15:01:59,0,3,2.33333333333333,0.577350269189626,FALSE
"E10","chlorella","1","D31","14DF","Plate_1_14DF_E10","0",2019-11-08 15:01:59,0,72,71.3333333333333,1.15470053837925,FALSE
"F10","chlorella","1","D31","14DF","Plate_1_14DF_F10","0",2019-11-08 15:01:59,0,72,71.3333333333333,1.15470053837925,FALSE
"G10","chlorella","1","D31","14DF","Plate_1_14DF_G10","0",2019-11-08 15:01:59,0,70,71.3333333333333,1.15470053837925,FALSE
"H10","chlorella","1","Ctrl","MC","Plate_1_MC_H10","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"A11","chlorella","1","Ctrl","MC","Plate_1_MC_A11","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B11","chlorella","1","Ctrl","AC","Plate_1_AC_B11","0",2019-11-08 15:01:59,0,4,3.25,0.5,FALSE
"C11","chlorella","1","Ctrl","AC","Plate_1_AC_C11","0",2019-11-08 15:01:59,0,3,3.25,0.5,FALSE
"D11","chlorella","1","Ctrl","AC","Plate_1_AC_D11","0",2019-11-08 15:01:59,0,3,3.25,0.5,FALSE
"E11","chlorella","1","Ctrl","AC","Plate_1_AC_E11","0",2019-11-08 15:01:59,0,3,3.25,0.5,FALSE
"F11","chlorella","1","Ctrl","MC","Plate_1_MC_F11","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"G11","chlorella","1","Ctrl","MC","Plate_1_MC_G11","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"H11","chlorella","1","Ctrl","MC","Plate_1_MC_H11","0",2019-11-08 15:01:59,0,1,1.86842105263158,0.528693066404059,FALSE
"A12","chlorella","1","Ctrl","MC","Plate_1_MC_A12","0",2019-11-08 15:01:59,0,1,1.86842105263158,0.528693066404059,FALSE
"B12","chlorella","1","Ctrl","MC","Plate_1_MC_B12","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"C12","chlorella","1","Ctrl","MC","Plate_1_MC_C12","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"D12","chlorella","1","Ctrl","MC","Plate_1_MC_D12","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"E12","chlorella","1","Ctrl","MC","Plate_1_MC_E12","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"F12","chlorella","1","Ctrl","MC","Plate_1_MC_F12","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"G12","chlorella","1","Ctrl","MC","Plate_1_MC_G12","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"H12","chlorella","1","Ctrl","MC","Plate_1_MC_H12","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B2","chlorella","1","D31","1DF","Plate_1_1DF_B2","10",2019-11-18 12:32:34,237.509722222222,376,333.333333333333,37.2871738448134,FALSE
"C2","chlorella","1","D31","1DF","Plate_1_1DF_C2","10",2019-11-18 12:32:34,237.509722222222,307,333.333333333333,37.2871738448134,FALSE
"D2","chlorella","1","D31","1DF","Plate_1_1DF_D2","10",2019-11-18 12:32:34,237.509722222222,317,333.333333333333,37.2871738448134,FALSE
"E2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_E2","10",2019-11-18 12:32:34,237.509722222222,281,276,13.228756555323,FALSE
