"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier","split_var","normCC","normGR","logNormCC","logNormGR"
"17","102D3","scenedesmus","10",0.0352832623848941,0.964716737615106,0.179343051254764,0.820656948745236,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_102D3_F6",214.313404714501,-4.18949959981118,0.0328291359682684,0.0235425121752168,0.96121838089466,0.00273019779225525,FALSE,"102D3_10",1.26634250427195,1.03819054599213,0.236132827631677,0.0374793382167006
"18","102D3","scenedesmus","10",0.0352832623848941,0.964716737615106,0.179343051254764,0.820656948745236,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_102D3_G6",246.341788035447,-4.26780516156535,0.0314926417128204,0.0222750006406323,0.946790484767272,0.00264031314792481,FALSE,"102D3_10",1.45559293028455,0.982295130823701,0.37541332983596,-0.0178634752272701
"19","102DF","monoraphidium","16",0.0195356974595677,0.980464302540432,0.00872472241823207,0.991275277581768,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_16_102DF_D2",818.776300076325,-2.84010118317158,0.0111977310759145,0.0365266582573048,0.986063209895607,0.00250713844183583,FALSE,"102DF_16",2.01895877774985,1.16567222615623,0.702581921960232,0.153297938766547
"20","102DF","monoraphidium","16",0.0195356974595677,0.980464302540432,0.00872472241823207,0.991275277581768,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_16_102DF_D3",589.34369791693,-2.83736075038296,0.0147447022766907,0.035632975461209,0.991138264805784,0.001945287176768,FALSE,"102DF_16",1.45321821346078,1.13715220094439,0.373780554633999,0.128527067678112
"21","102DF","monoraphidium","16",0.0195356974595677,0.980464302540432,0.00872472241823207,0.991275277581768,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_16_102DF_D4",646.336075689765,-2.89745445132902,0.0142886800986825,0.0364747775267573,0.982566792812706,0.00280504368263313,FALSE,"102DF_16",1.59375142303044,1.16401656069004,0.466090622806045,0.151876576604975
"22","103,1DF","monoraphidium","18",0.00806274217847653,0.991937257821524,0.750491604701088,0.249508395298912,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_18_103,1DF_F10",660.19234970764,-3.19668471889507,0.0146676979838366,0.0310473466780336,0.969168628265345,0.00319713234080794,FALSE,"103,1DF_18",2.0815697355854,1.02448503521134,0.733122289654943,0.0241900816709944
"23","103,1DF","monoraphidium","18",0.00806274217847653,0.991937257821524,0.750491604701088,0.249508395298912,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_18_103,1DF_F8",573.071297305959,-3.26379758295569,0.0178728238815379,0.0280587888835853,0.975261701123247,0.00223441200982835,FALSE,"103,1DF_18",1.80687926682732,0.925870078866529,0.591601195225918,-0.077021357779289
"24","103,1DF","monoraphidium","18",0.00806274217847653,0.991937257821524,0.750491604701088,0.249508395298912,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_18_103,1DF_F9",526.480946089525,-3.32318779391291,0.0182164411746491,0.0295203460927291,0.948049545787906,0.00398969755600818,FALSE,"103,1DF_18",1.65998107101307,0.974097822911803,0.506806199299264,-0.0262435461817486
"25","103D3","scenedesmus","10",0.52397535102167,0.47602464897833,0.121622015105458,0.878377984894542,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_10_103D3_B7",181.800088485512,-4.56613787672925,0.0367841656889354,0.0240495155325072,0.97664540197359,0.00214715525501691,FALSE,"103D3_10",1.07422668981578,1.06054865664777,0.0716010444063801,0.0587863748260894
"26","103D3","scenedesmus","10",0.52397535102167,0.47602464897833,0.121622015105458,0.878377984894542,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_10_103D3_C7",179.154652051609,-4.33122980846346,0.0317672130715995,0.0228734486585759,0.983687442309716,0.00170060514235747,FALSE,"103D3_10",1.05859524294914,1.00868581801429,0.0569427867127255,0.00864831331320515
"27","103D3","scenedesmus","10",0.52397535102167,0.47602464897833,0.121622015105458,0.878377984894542,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_10_103D3_D7",143.985967151129,-5.06212541352703,0.0312338681569347,0.0268192703645976,0.99096493283319,0.00147850528261456,FALSE,"103D3_10",0.850789293675213,1.18269081632856,-0.161590779567845,0.167792195239764
"28","103DF","monoraphidium","17",0.556832157997432,0.443167842002568,0.00490793835962072,0.995092061640379,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Plate_17_103DF_E2",565.640499551256,-3.15203343777583,0.0186350813757408,0.0371534020088186,0.978258836081595,0.00319780859119014,FALSE,"103DF_17",1.16751126409404,1.26117761497756,0.154874358560661,0.232045899544228
"29","103DF","monoraphidium","17",0.556832157997432,0.443167842002568,0.00490793835962072,0.995092061640379,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Plate_17_103DF_E3",417.092612628576,-4.3506890559114,0.0334875224855956,0.0338395026122299,0.969127805245493,0.00348703710933879,FALSE,"103DF_17",0.860900737837194,1.14868681975312,-0.149776068265286,0.138619394048482
"30","103DF","monoraphidium","17",0.556832157997432,0.443167842002568,0.00490793835962072,0.995092061640379,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Plate_17_103DF_E4",441.022875100721,-3.96233352431733,0.0285777920612105,0.0351405056047164,0.986900589439845,0.0023374188997618,FALSE,"103DF_17",0.910294038018352,1.19284955485753,-0.0939876129613605,0.176345028589935
"31","104D3","scenedesmus","10",0.0312946961715771,0.968705303828423,0.0200460411577738,0.979953958842226,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_10_104D3_E7",197.143481804734,-4.37009205158173,0.0355852646399901,0.0244759465794183,0.960661058733041,0.00285959882392478,FALSE,"104D3_10",1.16488826623829,1.07935364560246,0.152625173609785,0.076362385683688
"32","104D3","scenedesmus","10",0.0312946961715771,0.968705303828423,0.0200460411577738,0.979953958842226,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_10_104D3_F7",226.610014970318,-4.17782334763927,0.031439135200373,0.0241927457681376,0.962119979783317,0.00277150086575435,FALSE,"104D3_10",1.33900114289585,1.06686490172072,0.291923920252998,0.0647243492336378
"33","104D3","scenedesmus","10",0.0312946961715771,0.968705303828423,0.0200460411577738,0.979953958842226,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_10_104D3_G7",257.736066200381,-4.38817106259201,0.0313867229956643,0.0258674442519762,0.964447676763047,0.00286739518557517,FALSE,"104D3_10",1.52291983764704,1.14071666912637,0.420629438021571,0.131656722012682
"34","104DF","monoraphidium","17",0.00114051438739766,0.998859485612602,0.124814134385086,0.875185865614914,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_17_104DF_D5",884.527925606207,-2.97854797752462,0.0133255595692918,0.0336086172207383,0.993998853902211,0.00150769736254689,FALSE,"104DF_17",1.82571141452965,1.14084938168203,0.601969727256498,0.13177305662922
"35","104DF","monoraphidium","17",0.00114051438739766,0.998859485612602,0.124814134385086,0.875185865614914,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_17_104DF_D6",784.510254448886,-3.10108631099648,0.0163698949187807,0.0313977542066636,0.986291300853699,0.00185081968974311,FALSE,"104DF_17",1.61926976514764,1.06580131629973,0.481975285365905,0.0637269259142406
"36","104DF","monoraphidium","17",0.00114051438739766,0.998859485612602,0.124814134385086,0.875185865614914,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_17_104DF_D7",942.262348854197,-3.23491793619987,0.0133216534308485,0.0292963178061951,0.988219769136551,0.00159931192150871,FALSE,"104DF_17",1.94487825198467,0.994467753172968,0.665199379730606,-0.00554760637925949
"37","105D3","scenedesmus","10",0.00625678669910647,0.993743213300894,0.437653115063787,0.562346884936213,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_105D3_B8",195.137627869404,-4.50330762411091,0.0380957305013295,0.0220791761678157,0.947884678056914,0.00258855758000201,FALSE,"105D3_10",1.15303600669786,0.973659556385465,0.142398469505177,-0.0266935678717115
"38","105D3","scenedesmus","10",0.00625678669910647,0.993743213300894,0.437653115063787,0.562346884936213,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_105D3_C8",217.804243655659,-4.55006772420236,0.0379709195322295,0.0232144836340823,0.956310801263936,0.0024809416020006,FALSE,"105D3_10",1.28696929489499,1.02372496442264,0.252290070438938,0.0234479011096945
"39","105D3","scenedesmus","10",0.00625678669910647,0.993743213300894,0.437653115063787,0.562346884936213,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_105D3_D8",209.494130021412,-4.53986661394153,0.0360125859856004,0.0229331703657388,0.955661143273468,0.00246987163723343,FALSE,"105D3_10",1.23786620624594,1.01131945843913,0.213389095922909,0.0112558727565371
"40","105D3","scenedesmus","11",0.00181143509419787,0.998188564905802,0.06860458083674,0.93139541916326,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_11_105D3_E5",304.271858338435,-4.49988241935853,0.0371566287910082,0.0240371275304244,0.943514463980493,0.00294067424570405,FALSE,"105D3_11",1.37476877120687,1.07290346150606,0.318285550581975,0.0703684889635488
"41","105D3","scenedesmus","11",0.00181143509419787,0.998188564905802,0.06860458083674,0.93139541916326,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_11_105D3_F5",320.453145965019,-4.47318290899154,0.0359011954623988,0.0233092838492185,0.947772126153742,0.00273588691348086,FALSE,"105D3_11",1.44787947236872,1.04041596881323,0.370100053184688,0.0396206031993228
"42","105D3","scenedesmus","11",0.00181143509419787,0.998188564905802,0.06860458083674,0.93139541916326,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_11_105D3_G5",337.361045212227,-4.56242782507737,0.0346622389863446,0.02636533296627,0.96391615661329,0.00294516342010483,FALSE,"105D3_11",1.52427316844928,1.17682351884462,0.421517685591392,0.162818875527392
"43","106D3","scenedesmus","10",0.000265767185626175,0.999734232814374,0.0475339613714705,0.95246603862853,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_10_106D3_E8",278.661675893193,-4.79174928805597,0.0364161999053111,0.0278963276879738,0.964634083098605,0.00308388069485195,FALSE,"106D3_10",1.64656580844907,1.23018747778501,0.498691790726155,0.207166578732856
