"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",3,"SPL1",2021-02-09 12:06:56
"C2",3,"SPL2",2021-02-09 12:06:56
"D2",4,"SPL3",2021-02-09 12:06:56
"E2",3,"SPL4",2021-02-09 12:06:56
"F2",3,"SPL5",2021-02-09 12:06:56
"G2",3,"SPL6",2021-02-09 12:06:56
"B3",4,"SPL7",2021-02-09 12:06:56
"C3",4,"SPL8",2021-02-09 12:06:56
"D3",4,"SPL9",2021-02-09 12:06:56
"E3",4,"SPL10",2021-02-09 12:06:56
"F3",3,"SPL11",2021-02-09 12:06:56
"G3",3,"SPL12",2021-02-09 12:06:56
"B4",4,"SPL13",2021-02-09 12:06:56
"C4",3,"SPL14",2021-02-09 12:06:56
"D4",4,"SPL15",2021-02-09 12:06:56
"E4",4,"SPL16",2021-02-09 12:06:56
"F4",4,"SPL17",2021-02-09 12:06:56
"G4",4,"SPL18",2021-02-09 12:06:56
"B5",3,"SPL19",2021-02-09 12:06:56
"C5",4,"SPL20",2021-02-09 12:06:56
"D5",3,"SPL21",2021-02-09 12:06:56
"E5",4,"SPL22",2021-02-09 12:06:56
"F5",4,"SPL23",2021-02-09 12:06:56
"G5",3,"SPL24",2021-02-09 12:06:56
"B6",3,"SPL25",2021-02-09 12:06:56
"C6",4,"SPL26",2021-02-09 12:06:56
"D6",3,"SPL27",2021-02-09 12:06:56
"E6",3,"SPL28",2021-02-09 12:06:56
"F6",3,"SPL29",2021-02-09 12:06:56
"G6",4,"SPL30",2021-02-09 12:06:56
"B7",4,"SPL31",2021-02-09 12:06:56
"C7",4,"SPL32",2021-02-09 12:06:56
"D7",3,"SPL33",2021-02-09 12:06:56
"E7",4,"SPL34",2021-02-09 12:06:56
"F7",4,"SPL35",2021-02-09 12:06:56
"G7",4,"SPL36",2021-02-09 12:06:56
"B8",3,"SPL37",2021-02-09 12:06:56
"C8",3,"SPL38",2021-02-09 12:06:56
"D8",4,"SPL39",2021-02-09 12:06:56
"E8",3,"SPL40",2021-02-09 12:06:56
"F8",3,"SPL41",2021-02-09 12:06:56
"G8",4,"SPL42",2021-02-09 12:06:56
"B9",5,"SPL43",2021-02-09 12:06:56
"C9",3,"SPL44",2021-02-09 12:06:56
"D9",3,"SPL45",2021-02-09 12:06:56
"E9",3,"SPL46",2021-02-09 12:06:56
"F9",4,"SPL47",2021-02-09 12:06:56
"G9",4,"SPL48",2021-02-09 12:06:56
"B10",3,"SPL49",2021-02-09 12:06:56
"C10",4,"SPL50",2021-02-09 12:06:56
"D10",3,"SPL51",2021-02-09 12:06:56
"E10",3,"SPL52",2021-02-09 12:06:56
"F10",4,"SPL53",2021-02-09 12:06:56
"G10",3,"SPL54",2021-02-09 12:06:56
"B11",4,"SPL55",2021-02-09 12:06:56
"C11",3,"SPL56",2021-02-09 12:06:56
"D11",4,"SPL57",2021-02-09 12:06:56
"E11",4,"SPL58",2021-02-09 12:06:56
"F11",3,"SPL59",2021-02-09 12:06:56
"G11",3,"SPL60",2021-02-09 12:06:56
