Well,Isolate
B2,176D3
B3,176D3
B4,176D3
B5,170D3
B6,170D3
B7,170D3
B8,170D3
B9,170D3
B10,170D3
B11,AC
C2,180D3
C3,180D3
C4,180D3
C5,R2A1AC
C6,R2A1AC
C7,R2A1AC
C8,R2A1AC
C9,R2A1AC
C10,R2A1AC
C11,AC
D2,173D3
D3,173D3
D4,173D3
D5,R2A2AC
D6,R2A2AC
D7,R2A2AC
D8,R2A2AC
D9,R2A2AC
D10,R2A2AC
D11,AC
E2,97DF
E3,97DF
E4,97DF
E5,R2A3AC
E6,R2A3AC
E7,R2A3AC
E8,R2A3AC
E9,R2A3AC
E10,OMIT
E11,AC
F2,110DF
F3,110DF
F4,110DF
F5,AC
F6,AC
F7,AC
F8,AC
F9,AC
F10,AC
F11,MC
G2,165D3
G3,165D3
G4,165D3
G5,AC
G6,AC
G7,AC
G8,AC
G9,AC
G10,AC
G11,MC
