"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",536,"SPL1",2021-02-17 15:17:59
"C2",419,"SPL2",2021-02-17 15:17:59
"D2",401,"SPL3",2021-02-17 15:17:59
"E2",432,"SPL4",2021-02-17 15:17:59
"F2",383,"SPL5",2021-02-17 15:17:59
"G2",514,"SPL6",2021-02-17 15:17:59
"B3",517,"SPL7",2021-02-17 15:17:59
"C3",360,"SPL8",2021-02-17 15:17:59
"D3",364,"SPL9",2021-02-17 15:17:59
"E3",401,"SPL10",2021-02-17 15:17:59
"F3",368,"SPL11",2021-02-17 15:17:59
"G3",328,"SPL12",2021-02-17 15:17:59
"B4",509,"SPL13",2021-02-17 15:17:59
"C4",385,"SPL14",2021-02-17 15:17:59
"D4",371,"SPL15",2021-02-17 15:17:59
"E4",398,"SPL16",2021-02-17 15:17:59
"F4",333,"SPL17",2021-02-17 15:17:59
"G4",363,"SPL18",2021-02-17 15:17:59
"B5",489,"SPL19",2021-02-17 15:17:59
"C5",396,"SPL20",2021-02-17 15:17:59
"D5",404,"SPL21",2021-02-17 15:17:59
"E5",318,"SPL22",2021-02-17 15:17:59
"F5",360,"SPL23",2021-02-17 15:17:59
"G5",353,"SPL24",2021-02-17 15:17:59
"B6",482,"SPL25",2021-02-17 15:17:59
"C6",398,"SPL26",2021-02-17 15:17:59
"D6",390,"SPL27",2021-02-17 15:17:59
"E6",363,"SPL28",2021-02-17 15:17:59
"F6",350,"SPL29",2021-02-17 15:17:59
"G6",341,"SPL30",2021-02-17 15:17:59
"B7",489,"SPL31",2021-02-17 15:17:59
"C7",396,"SPL32",2021-02-17 15:17:59
"D7",442,"SPL33",2021-02-17 15:17:59
"E7",328,"SPL34",2021-02-17 15:17:59
"F7",420,"SPL35",2021-02-17 15:17:59
"G7",320,"SPL36",2021-02-17 15:17:59
"B8",475,"SPL37",2021-02-17 15:17:59
"C8",434,"SPL38",2021-02-17 15:17:59
"D8",370,"SPL39",2021-02-17 15:17:59
"E8",328,"SPL40",2021-02-17 15:17:59
"F8",337,"SPL41",2021-02-17 15:17:59
"G8",372,"SPL42",2021-02-17 15:17:59
"B9",504,"SPL43",2021-02-17 15:17:59
"C9",397,"SPL44",2021-02-17 15:17:59
"D9",399,"SPL45",2021-02-17 15:17:59
"E9",317,"SPL46",2021-02-17 15:17:59
"F9",334,"SPL47",2021-02-17 15:17:59
"G9",341,"SPL48",2021-02-17 15:17:59
"B10",458,"SPL49",2021-02-17 15:17:59
"C10",436,"SPL50",2021-02-17 15:17:59
"D10",335,"SPL51",2021-02-17 15:17:59
"E10",335,"SPL52",2021-02-17 15:17:59
"F10",365,"SPL53",2021-02-17 15:17:59
"G10",355,"SPL54",2021-02-17 15:17:59
"B11",387,"SPL55",2021-02-17 15:17:59
"C11",357,"SPL56",2021-02-17 15:17:59
"D11",327,"SPL57",2021-02-17 15:17:59
"E11",341,"SPL58",2021-02-17 15:17:59
"F11",2,"SPL59",2021-02-17 15:17:59
"G11",1.44,"SPL60",2021-02-17 15:17:59
