"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",2.22,"SPL1",2021-02-20 20:41:06
"C2",1.11,"SPL2",2021-02-20 20:41:06
"D2",665,"SPL3",2021-02-20 20:41:06
"E2",553,"SPL4",2021-02-20 20:41:06
"F2",682,"SPL5",2021-02-20 20:41:06
"G2",636,"SPL6",2021-02-20 20:41:06
"B3",744,"SPL7",2021-02-20 20:41:06
"C3",714,"SPL8",2021-02-20 20:41:06
"D3",838,"SPL9",2021-02-20 20:41:06
"E3",901,"SPL10",2021-02-20 20:41:06
"F3",658,"SPL11",2021-02-20 20:41:06
"G3",794,"SPL12",2021-02-20 20:41:06
"B4",789,"SPL13",2021-02-20 20:41:06
"C4",789,"SPL14",2021-02-20 20:41:06
"D4",830,"SPL15",2021-02-20 20:41:06
"E4",797,"SPL16",2021-02-20 20:41:06
"F4",660,"SPL17",2021-02-20 20:41:06
"G4",793,"SPL18",2021-02-20 20:41:06
"B5",779,"SPL19",2021-02-20 20:41:06
"C5",614,"SPL20",2021-02-20 20:41:06
"D5",788,"SPL21",2021-02-20 20:41:06
"E5",870,"SPL22",2021-02-20 20:41:06
"F5",694,"SPL23",2021-02-20 20:41:06
"G5",650,"SPL24",2021-02-20 20:41:06
"B6",933,"SPL25",2021-02-20 20:41:06
"C6",978,"SPL26",2021-02-20 20:41:06
"D6",686,"SPL27",2021-02-20 20:41:06
"E6",582,"SPL28",2021-02-20 20:41:06
"F6",113,"SPL29",2021-02-20 20:41:06
"G6",910,"SPL30",2021-02-20 20:41:06
"B7",1681,"SPL31",2021-02-20 20:41:06
"C7",1793,"SPL32",2021-02-20 20:41:06
"D7",534,"SPL33",2021-02-20 20:41:06
"E7",864,"SPL34",2021-02-20 20:41:06
"F7",104,"SPL35",2021-02-20 20:41:06
"G7",797,"SPL36",2021-02-20 20:41:06
"B8",823,"SPL37",2021-02-20 20:41:06
"C8",993,"SPL38",2021-02-20 20:41:06
"D8",833,"SPL39",2021-02-20 20:41:06
"E8",530,"SPL40",2021-02-20 20:41:06
"F8",113,"SPL41",2021-02-20 20:41:06
"G8",879,"SPL42",2021-02-20 20:41:06
"B9",862,"SPL43",2021-02-20 20:41:06
"C9",800,"SPL44",2021-02-20 20:41:06
"D9",586,"SPL45",2021-02-20 20:41:06
"E9",707,"SPL46",2021-02-20 20:41:06
"F9",318,"SPL47",2021-02-20 20:41:06
"G9",740,"SPL48",2021-02-20 20:41:06
"B10",852,"SPL49",2021-02-20 20:41:06
"C10",157,"SPL50",2021-02-20 20:41:06
"D10",564,"SPL51",2021-02-20 20:41:06
"E10",785,"SPL52",2021-02-20 20:41:06
"F10",309,"SPL53",2021-02-20 20:41:06
"G10",644,"SPL54",2021-02-20 20:41:06
"B11",818,"SPL55",2021-02-20 20:41:06
"C11",162,"SPL56",2021-02-20 20:41:06
"D11",560,"SPL57",2021-02-20 20:41:06
"E11",963,"SPL58",2021-02-20 20:41:06
"F11",382,"SPL59",2021-02-20 20:41:06
"G11",749,"SPL60",2021-02-20 20:41:06
