Well,Isolate
B2,"62,1DF"
B3,"62,1DF"
B4,"62,1DF"
B5,61DF
B6,61DF
B7,61DF
B8,40DF
B9,40DF
B10,40DF
B11,AC
C2,65D3
C3,65D3
C4,65D3
C5,80D3
C6,80D3
C7,80D3
C8,42DF
C9,42DF
C10,42DF
C11,AC
D2,38DF
D3,38DF
D4,38DF
D5,50DF
D6,50DF
D7,50DF
D8,56DF
D9,56DF
D10,56DF
D11,AC
E2,37DF
E3,37DF
E4,37DF
E5,48DF
E6,48DF
E7,48DF
E8,35DF
E9,35DF
E10,35DF
E11,AC
F2,"65,1D3"
F3,"65,1D3"
F4,"65,1D3"
F5,86D3
F6,86D3
F7,86D3
F8,53DF
F9,53DF
F10,53DF
F11,MC
G2,58DF
G3,58DF
G4,58DF
G5,47DF
G6,47DF
G7,47DF
G8,"52,1DF"
G9,"52,1DF"
G10,"52,1DF"
G11,MC
