"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",339,"SPL1",2019-11-14 12:20:51
"C2",313,"SPL2",2019-11-14 12:20:51
"D2",311,"SPL3",2019-11-14 12:20:51
"E2",240,"SPL4",2019-11-14 12:20:51
"F2",220,"SPL5",2019-11-14 12:20:51
"G2",212,"SPL6",2019-11-14 12:20:51
"B3",263,"SPL7",2019-11-14 12:20:51
"C3",246,"SPL8",2019-11-14 12:20:51
"D3",263,"SPL9",2019-11-14 12:20:51
"E3",477,"SPL10",2019-11-14 12:20:51
"F3",448,"SPL11",2019-11-14 12:20:51
"G3",470,"SPL12",2019-11-14 12:20:51
"B4",549,"SPL13",2019-11-14 12:20:51
"C4",518,"SPL14",2019-11-14 12:20:51
"D4",532,"SPL15",2019-11-14 12:20:51
"E4",217,"SPL16",2019-11-14 12:20:51
"F4",293,"SPL17",2019-11-14 12:20:51
"G4",202,"SPL18",2019-11-14 12:20:51
"B5",246,"SPL19",2019-11-14 12:20:51
"C5",235,"SPL20",2019-11-14 12:20:51
"D5",220,"SPL21",2019-11-14 12:20:51
"E5",162,"SPL22",2019-11-14 12:20:51
"F5",169,"SPL23",2019-11-14 12:20:51
"G5",172,"SPL24",2019-11-14 12:20:51
"B6",322,"SPL25",2019-11-14 12:20:51
"C6",356,"SPL26",2019-11-14 12:20:51
"D6",302,"SPL27",2019-11-14 12:20:51
"E6",207,"SPL28",2019-11-14 12:20:51
"F6",223,"SPL29",2019-11-14 12:20:51
"G6",245,"SPL30",2019-11-14 12:20:51
"B7",250,"SPL31",2019-11-14 12:20:51
"C7",255,"SPL32",2019-11-14 12:20:51
"D7",247,"SPL33",2019-11-14 12:20:51
"E7",345,"SPL34",2019-11-14 12:20:51
"F7",275,"SPL35",2019-11-14 12:20:51
"G7",308,"SPL36",2019-11-14 12:20:51
"B8",271,"SPL37",2019-11-14 12:20:51
"C8",225,"SPL38",2019-11-14 12:20:51
"D8",213,"SPL39",2019-11-14 12:20:51
"E8",381,"SPL40",2019-11-14 12:20:51
"F8",394,"SPL41",2019-11-14 12:20:51
"G8",415,"SPL42",2019-11-14 12:20:51
"B9",215,"SPL43",2019-11-14 12:20:51
"C9",202,"SPL44",2019-11-14 12:20:51
"D9",184,"SPL45",2019-11-14 12:20:51
"E9",212,"SPL46",2019-11-14 12:20:51
"F9",202,"SPL47",2019-11-14 12:20:51
"G9",190,"SPL48",2019-11-14 12:20:51
"B10",656,"SPL49",2019-11-14 12:20:51
"C10",601,"SPL50",2019-11-14 12:20:51
"D10",565,"SPL51",2019-11-14 12:20:51
"E10",478,"SPL52",2019-11-14 12:20:51
"F10",499,"SPL53",2019-11-14 12:20:51
"G10",525,"SPL54",2019-11-14 12:20:51
"B11",263,"SPL55",2019-11-14 12:20:51
"C11",243,"SPL56",2019-11-14 12:20:51
"D11",260,"SPL57",2019-11-14 12:20:51
"E11",281,"SPL58",2019-11-14 12:20:51
"F11",1,"SPL59",2019-11-14 12:20:51
"G11",1,"SPL60",2019-11-14 12:20:51
