Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,32DF
B3,34DF
B4,3D3
B5,"4,1D3"
B6,6D3
B7,8D3
B8,9D3
B9,13D3
B10,16D3
B11,AC
B12,MC
C1,MC
C2,32DF
C3,34DF
C4,3D3
C5,"4,1D3"
C6,6D3
C7,8D3
C8,9D3
C9,13D3
C10,16D3
C11,AC
C12,MC
D1,MC
D2,32DF
D3,34DF
D4,3D3
D5,"4,1D3"
D6,6D3
D7,8D3
D8,9D3
D9,13D3
D10,16D3
D11,AC
D12,MC
E1,MC
E2,33DF
E3,1D3
E4,4D3
E5,5D3
E6,7D3
E7,"8,1D3"
E8,12D3
E9,14D3
E10,17D3
E11,AC
E12,MC
F1,MC
F2,33DF
F3,1D3
F4,4D3
F5,5D3
F6,7D3
F7,"8,1D3"
F8,12D3
F9,14D3
F10,17D3
F11,MC
F12,MC
G1,MC
G2,33DF
G3,1D3
G4,4D3
G5,5D3
G6,7D3
G7,"8,1D3"
G8,12D3
G9,14D3
G10,17D3
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
