"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",621,"SPL1",2021-02-12 11:09:10
"C2",579,"SPL2",2021-02-12 11:09:10
"D2",624,"SPL3",2021-02-12 11:09:10
"E2",611,"SPL4",2021-02-12 11:09:10
"F2",623,"SPL5",2021-02-12 11:09:10
"G2",588,"SPL6",2021-02-12 11:09:10
"B3",549,"SPL7",2021-02-12 11:09:10
"C3",591,"SPL8",2021-02-12 11:09:10
"D3",626,"SPL9",2021-02-12 11:09:10
"E3",626,"SPL10",2021-02-12 11:09:10
"F3",573,"SPL11",2021-02-12 11:09:10
"G3",620,"SPL12",2021-02-12 11:09:10
"B4",548,"SPL13",2021-02-12 11:09:10
"C4",573,"SPL14",2021-02-12 11:09:10
"D4",660,"SPL15",2021-02-12 11:09:10
"E4",690,"SPL16",2021-02-12 11:09:10
"F4",568,"SPL17",2021-02-12 11:09:10
"G4",609,"SPL18",2021-02-12 11:09:10
"B5",593,"SPL19",2021-02-12 11:09:10
"C5",569,"SPL20",2021-02-12 11:09:10
"D5",540,"SPL21",2021-02-12 11:09:10
"E5",606,"SPL22",2021-02-12 11:09:10
"F5",617,"SPL23",2021-02-12 11:09:10
"G5",641,"SPL24",2021-02-12 11:09:10
"B6",593,"SPL25",2021-02-12 11:09:10
"C6",567,"SPL26",2021-02-12 11:09:10
"D6",605,"SPL27",2021-02-12 11:09:10
"E6",627,"SPL28",2021-02-12 11:09:10
"F6",573,"SPL29",2021-02-12 11:09:10
"G6",749,"SPL30",2021-02-12 11:09:10
"B7",545,"SPL31",2021-02-12 11:09:10
"C7",579,"SPL32",2021-02-12 11:09:10
"D7",556,"SPL33",2021-02-12 11:09:10
"E7",587,"SPL34",2021-02-12 11:09:10
"F7",623,"SPL35",2021-02-12 11:09:10
"G7",768,"SPL36",2021-02-12 11:09:10
"B8",593,"SPL37",2021-02-12 11:09:10
"C8",522,"SPL38",2021-02-12 11:09:10
"D8",657,"SPL39",2021-02-12 11:09:10
"E8",546,"SPL40",2021-02-12 11:09:10
"F8",610,"SPL41",2021-02-12 11:09:10
"G8",587,"SPL42",2021-02-12 11:09:10
"B9",585,"SPL43",2021-02-12 11:09:10
"C9",543,"SPL44",2021-02-12 11:09:10
"D9",644,"SPL45",2021-02-12 11:09:10
"E9",518,"SPL46",2021-02-12 11:09:10
"F9",525,"SPL47",2021-02-12 11:09:10
"G9",564,"SPL48",2021-02-12 11:09:10
"B10",624,"SPL49",2021-02-12 11:09:10
"C10",571,"SPL50",2021-02-12 11:09:10
"D10",658,"SPL51",2021-02-12 11:09:10
"E10",553,"SPL52",2021-02-12 11:09:10
"F10",621,"SPL53",2021-02-12 11:09:10
"G10",573,"SPL54",2021-02-12 11:09:10
"B11",494,"SPL55",2021-02-12 11:09:10
"C11",554,"SPL56",2021-02-12 11:09:10
"D11",528,"SPL57",2021-02-12 11:09:10
"E11",580,"SPL58",2021-02-12 11:09:10
"F11",2.44,"SPL59",2021-02-12 11:09:10
"G11",1.11,"SPL60",2021-02-12 11:09:10
