"","Isolate_Number","jar_no","host_species","Group","capture_day","seq_type"
"453","234D3","J41-","Selenastrum","234D3","D3","Miseq"
"454","235D3","J42-","Selenastrum","235D3","D3","Miseq"
"455","236D3","J42-","Selenastrum","236D3","D3","Miseq"
"456","237D3","J42-","Selenastrum","237D3","D3","Miseq"
"457","238D3","J42-","Selenastrum","238D3","D3","Miseq"
"458","239D3","J42-","Selenastrum","239D3","D3","Miseq"
"459","240_D3","J43-","Selenastrum","240_D3","D3","Sanger"
"460","241_D3","J43-","Selenastrum","241_D3","D3","Sanger"
"461","243_D3","J43-","Selenastrum","243_D3","D3","Sanger"
"462","244_D3","J44-","Selenastrum","244_D3","D3","Sanger"
"463","245D3","J44-","Selenastrum","245D3","D3","Miseq"
"464","246_D3","J44-","Selenastrum","246_D3","D3","Sanger"
"465","247_D3","J44-","Selenastrum","247_D3","D3","Sanger"
"466","248_D3","J45-","Selenastrum","248_D3","D3","Sanger"
"467","250_D3","J45-","Selenastrum","250_D3","D3","Sanger"
"468","250D3","J45-","Selenastrum","250D3","D3","Miseq"
