Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,89D3
B3,89D3
B4,89D3
B5,90D3
B6,90D3
B7,90D3
B8,93D3
B9,93D3
B10,93D3
B11,AC
B12,MC
C1,MC
C2,99D3
C3,99D3
C4,99D3
C5,107D3
C6,107D3
C7,107D3
C8,108D3
C9,108D3
C10,108D3
C11,AC
C12,MC
D1,MC
D2,109D3
D3,109D3
D4,109D3
D5,110D3
D6,110D3
D7,110D3
D8,111D3
D9,111D3
D10,111D3
D11,AC
D12,MC
E1,MC
E2,112D3
E3,116D3
E4,121D3
E5,125D3
E6,127D3
E7,126D3
E8,"131,1D3"
E9,132D3
E10,"132,1D3"
E11,AC
E12,MC
F1,MC
F2,112D3
F3,116D3
F4,121D3
F5,125D3
F6,127D3
F7,126D3
F8,"131,1D3"
F9,132D3
F10,"132,1D3"
F11,MC
F12,MC
G1,MC
G2,112D3
G3,116D3
G4,121D3
G5,125D3
G6,127D3
G7,126D3
G8,"131,1D3"
G9,132D3
G10,"132,1D3"
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
