Well,Isolate
B2,109DF
B3,109DF
B4,109DF
B5,187D3
B6,187D3
B7,187D3
B8,185D3
B9,185D3
B10,185D3
B11,AC
C2,190D3
C3,190D3
C4,190D3
C5,174D3
C6,174D3
C7,174D3
C8,162D3
C9,162D3
C10,162D3
C11,AC
D2,102DF
D3,102DF
D4,102DF
D5,179D3
D6,179D3
D7,179D3
D8,"159,1D3"
D9,"159,1D3"
D10,"159,1D3"
D11,AC
E2,115DF
E3,115DF
E4,115DF
E5,201D3
E6,201D3
E7,201D3
E8,117DF
E9,117DF
E10,117DF
E11,AC
F2,189D3
F3,189D3
F4,189D3
F5,"111,1DF"
F6,"111,1DF"
F7,"111,1DF"
F8,116DF
F9,116DF
F10,116DF
F11,MC
G2,191D3
G3,191D3
G4,191D3
G5,118DF
G6,118DF
G7,118DF
G8,194D3
G9,194D3
G10,194D3
G11,MC
