"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",3,"SPL1",2021-02-09 11:27:06
"C2",3,"SPL2",2021-02-09 11:27:06
"D2",3,"SPL3",2021-02-09 11:27:06
"E2",2,"SPL4",2021-02-09 11:27:06
"F2",4,"SPL5",2021-02-09 11:27:06
"G2",2,"SPL6",2021-02-09 11:27:06
"B3",3,"SPL7",2021-02-09 11:27:06
"C3",4,"SPL8",2021-02-09 11:27:06
"D3",3,"SPL9",2021-02-09 11:27:06
"E3",4,"SPL10",2021-02-09 11:27:06
"F3",4,"SPL11",2021-02-09 11:27:06
"G3",4,"SPL12",2021-02-09 11:27:06
"B4",3,"SPL13",2021-02-09 11:27:06
"C4",4,"SPL14",2021-02-09 11:27:06
"D4",4,"SPL15",2021-02-09 11:27:06
"E4",3,"SPL16",2021-02-09 11:27:06
"F4",4,"SPL17",2021-02-09 11:27:06
"G4",3,"SPL18",2021-02-09 11:27:06
"B5",3,"SPL19",2021-02-09 11:27:06
"C5",3,"SPL20",2021-02-09 11:27:06
"D5",3,"SPL21",2021-02-09 11:27:06
"E5",4,"SPL22",2021-02-09 11:27:06
"F5",3,"SPL23",2021-02-09 11:27:06
"G5",5,"SPL24",2021-02-09 11:27:06
"B6",3,"SPL25",2021-02-09 11:27:06
"C6",4,"SPL26",2021-02-09 11:27:06
"D6",4,"SPL27",2021-02-09 11:27:06
"E6",3,"SPL28",2021-02-09 11:27:06
"F6",3,"SPL29",2021-02-09 11:27:06
"G6",4,"SPL30",2021-02-09 11:27:06
"B7",4,"SPL31",2021-02-09 11:27:06
"C7",3,"SPL32",2021-02-09 11:27:06
"D7",3,"SPL33",2021-02-09 11:27:06
"E7",3,"SPL34",2021-02-09 11:27:06
"F7",3,"SPL35",2021-02-09 11:27:06
"G7",4,"SPL36",2021-02-09 11:27:06
"B8",3,"SPL37",2021-02-09 11:27:06
"C8",3,"SPL38",2021-02-09 11:27:06
"D8",3,"SPL39",2021-02-09 11:27:06
"E8",4,"SPL40",2021-02-09 11:27:06
"F8",3,"SPL41",2021-02-09 11:27:06
"G8",3,"SPL42",2021-02-09 11:27:06
"B9",3,"SPL43",2021-02-09 11:27:06
"C9",4,"SPL44",2021-02-09 11:27:06
"D9",4,"SPL45",2021-02-09 11:27:06
"E9",4,"SPL46",2021-02-09 11:27:06
"F9",3,"SPL47",2021-02-09 11:27:06
"G9",4,"SPL48",2021-02-09 11:27:06
"B10",5,"SPL49",2021-02-09 11:27:06
"C10",3,"SPL50",2021-02-09 11:27:06
"D10",3,"SPL51",2021-02-09 11:27:06
"E10",4,"SPL52",2021-02-09 11:27:06
"F10",3,"SPL53",2021-02-09 11:27:06
"G10",4,"SPL54",2021-02-09 11:27:06
"B11",3,"SPL55",2021-02-09 11:27:06
"C11",3,"SPL56",2021-02-09 11:27:06
"D11",4,"SPL57",2021-02-09 11:27:06
"E11",4,"SPL58",2021-02-09 11:27:06
"F11",3,"SPL59",2021-02-09 11:27:06
"G11",2,"SPL60",2021-02-09 11:27:06
