Well,Isolate
B2,108DF
B3,108DF
B4,108DF
B5,169D3
B6,169D3
B7,169D3
B8,158D3
B9,158D3
B10,158D3
B11,AC
C2,182D3
C3,182D3
C4,182D3
C5,156D3
C6,156D3
C7,156D3
C8,160D3
C9,160D3
C10,160D3
C11,AC
D2,167D3
D3,167D3
D4,167D3
D5,104DF
D6,104DF
D7,104DF
D8,192D3
D9,192D3
D10,192D3
D11,AC
E2,103DF
E3,103DF
E4,103DF
E5,96DF
E6,96DF
E7,96DF
E8,94DF
E9,94DF
E10,94DF
E11,AC
F2,181D3
F3,181D3
F4,181D3
F5,198D3
F6,198D3
F7,198D3
F8,"117,1DF"
F9,"117,1DF"
F10,"117,1DF"
F11,MC
G2,98DF
G3,98DF
G4,98DF
G5,161D3
G6,161D3
G7,161D3
G8,100DF
G9,100DF
G10,100DF
G11,MC
