Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,540,SPL1,,5/29/2021 17:23
C2,569,SPL2,,5/29/2021 17:23
D2,585,SPL3,,5/29/2021 17:23
E2,414,SPL4,,5/29/2021 17:23
F2,885,SPL5,,5/29/2021 17:23
G2,412,SPL6,,5/29/2021 17:23
B3,448,SPL7,,5/29/2021 17:23
C3,996,SPL8,,5/29/2021 17:23
D3,570,SPL9,,5/29/2021 17:23
E3,409,SPL10,,5/29/2021 17:23
F3,465,SPL11,,5/29/2021 17:23
G3,454,SPL12,,5/29/2021 17:23
B4,494,SPL13,,5/29/2021 17:23
C4,557,SPL14,,5/29/2021 17:23
D4,583,SPL15,,5/29/2021 17:23
E4,434,SPL16,,5/29/2021 17:23
F4,514,SPL17,,5/29/2021 17:23
G4,460,SPL18,,5/29/2021 17:23
B5,504,SPL19,,5/29/2021 17:23
C5,522,SPL20,,5/29/2021 17:23
D5,549,SPL21,,5/29/2021 17:23
E5,514,SPL22,,5/29/2021 17:23
F5,521,SPL23,,5/29/2021 17:23
G5,512,SPL24,,5/29/2021 17:23
B6,691,SPL25,,5/29/2021 17:23
C6,639,SPL26,,5/29/2021 17:23
D6,711,SPL27,,5/29/2021 17:23
E6,660,SPL28,,5/29/2021 17:23
F6,669,SPL29,,5/29/2021 17:23
G6,719,SPL30,,5/29/2021 17:23
B7,630,SPL31,,5/29/2021 17:23
C7,697,SPL32,,5/29/2021 17:23
D7,173,SPL33,,5/29/2021 17:23
E7,652,SPL34,,5/29/2021 17:23
F7,642,SPL35,,5/29/2021 17:23
G7,589,SPL36,,5/29/2021 17:23
B8,598,SPL37,,5/29/2021 17:23
C8,671,SPL38,,5/29/2021 17:23
D8,702,SPL39,,5/29/2021 17:23
E8,729,SPL40,,5/29/2021 17:23
F8,699,SPL41,,5/29/2021 17:23
G8,794,SPL42,,5/29/2021 17:23
B9,748,SPL43,,5/29/2021 17:23
C9,709,SPL44,,5/29/2021 17:23
D9,722,SPL45,,5/29/2021 17:23
E9,557,SPL46,,5/29/2021 17:23
F9,559,SPL47,,5/29/2021 17:23
G9,592,SPL48,,5/29/2021 17:23
B10,650,SPL49,,5/29/2021 17:23
C10,1684,SPL50,,5/29/2021 17:23
D10,656,SPL51,,5/29/2021 17:23
E10,531,SPL52,,5/29/2021 17:23
F10,560,SPL53,,5/29/2021 17:23
G10,573,SPL54,,5/29/2021 17:23
B11,597,SPL55,,5/29/2021 17:23
C11,566,SPL56,,5/29/2021 17:23
D11,508,SPL57,,5/29/2021 17:23
E11,499,SPL58,,5/29/2021 17:23
F11,523,SPL59,,5/29/2021 17:23
G11,582,SPL60,,5/29/2021 17:23
F12,0.889,SPL61,,5/29/2021 17:23
G12,1.33,SPL62,,5/29/2021 17:23
