Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,7,SPL1,,5/17/2021 17:07
C2,6.67,SPL2,,5/17/2021 17:07
D2,7.33,SPL3,,5/17/2021 17:07
E2,3,SPL4,,5/17/2021 17:07
F2,3.33,SPL5,,5/17/2021 17:07
G2,2.56,SPL6,,5/17/2021 17:07
B3,5.89,SPL7,,5/17/2021 17:07
C3,5.44,SPL8,,5/17/2021 17:07
D3,5.67,SPL9,,5/17/2021 17:07
E3,3.89,SPL10,,5/17/2021 17:07
F3,2.44,SPL11,,5/17/2021 17:07
G3,2.78,SPL12,,5/17/2021 17:07
B4,6.33,SPL13,,5/17/2021 17:07
C4,5.33,SPL14,,5/17/2021 17:07
D4,4.33,SPL15,,5/17/2021 17:07
E4,1.44,SPL16,,5/17/2021 17:07
F4,2,SPL17,,5/17/2021 17:07
G4,2.78,SPL18,,5/17/2021 17:07
B5,4.56,SPL19,,5/17/2021 17:07
C5,5.89,SPL20,,5/17/2021 17:07
D5,7.11,SPL21,,5/17/2021 17:07
E5,2,SPL22,,5/17/2021 17:07
F5,3.33,SPL23,,5/17/2021 17:07
G5,3.89,SPL24,,5/17/2021 17:07
B6,2.89,SPL25,,5/17/2021 17:07
C6,2.56,SPL26,,5/17/2021 17:07
D6,4.22,SPL27,,5/17/2021 17:07
E6,4.78,SPL28,,5/17/2021 17:07
F6,5.78,SPL29,,5/17/2021 17:07
G6,4,SPL30,,5/17/2021 17:07
B7,3.78,SPL31,,5/17/2021 17:07
C7,3.22,SPL32,,5/17/2021 17:07
D7,2.56,SPL33,,5/17/2021 17:07
E7,4.67,SPL34,,5/17/2021 17:07
F7,5.44,SPL35,,5/17/2021 17:07
G7,5.11,SPL36,,5/17/2021 17:07
B8,3.22,SPL37,,5/17/2021 17:07
C8,3.56,SPL38,,5/17/2021 17:07
D8,2.67,SPL39,,5/17/2021 17:07
E8,5.44,SPL40,,5/17/2021 17:07
F8,5.56,SPL41,,5/17/2021 17:07
G8,7.33,SPL42,,5/17/2021 17:07
B9,3.22,SPL43,,5/17/2021 17:07
C9,3,SPL44,,5/17/2021 17:07
D9,2.78,SPL45,,5/17/2021 17:07
E9,5.22,SPL46,,5/17/2021 17:07
F9,4.44,SPL47,,5/17/2021 17:07
G9,5.11,SPL48,,5/17/2021 17:07
B10,2.78,SPL49,,5/17/2021 17:07
C10,2.11,SPL50,,5/17/2021 17:07
D10,4.33,SPL51,,5/17/2021 17:07
E10,4.33,SPL52,,5/17/2021 17:07
F10,4.67,SPL53,,5/17/2021 17:07
G10,4,SPL54,,5/17/2021 17:07
B11,4.11,SPL55,,5/17/2021 17:07
C11,4.44,SPL56,,5/17/2021 17:07
D11,4,SPL57,,5/17/2021 17:07
E11,2.89,SPL58,,5/17/2021 17:07
F11,3.56,SPL59,,5/17/2021 17:07
G11,3.67,SPL60,,5/17/2021 17:07
F12,3,SPL61,,5/17/2021 17:07
G12,2.67,SPL62,,5/17/2021 17:07
