Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,370,SPL1,,5/7/2021 10:43
C2,439,SPL2,,5/7/2021 10:43
D2,450,SPL3,,5/7/2021 10:43
E2,410,SPL4,,5/7/2021 10:43
F2,413,SPL5,,5/7/2021 10:43
G2,451,SPL6,,5/7/2021 10:43
B3,444,SPL7,,5/7/2021 10:43
C3,515,SPL8,,5/7/2021 10:43
D3,498,SPL9,,5/7/2021 10:43
E3,447,SPL10,,5/7/2021 10:43
F3,495,SPL11,,5/7/2021 10:43
G3,484,SPL12,,5/7/2021 10:43
B4,360,SPL13,,5/7/2021 10:43
C4,362,SPL14,,5/7/2021 10:43
D4,388,SPL15,,5/7/2021 10:43
E4,406,SPL16,,5/7/2021 10:43
F4,387,SPL17,,5/7/2021 10:43
G4,418,SPL18,,5/7/2021 10:43
B5,319,SPL19,,5/7/2021 10:43
C5,319,SPL20,,5/7/2021 10:43
D5,354,SPL21,,5/7/2021 10:43
E5,400,SPL22,,5/7/2021 10:43
F5,423,SPL23,,5/7/2021 10:43
G5,381,SPL24,,5/7/2021 10:43
B6,496,SPL25,,5/7/2021 10:43
C6,476,SPL26,,5/7/2021 10:43
D6,464,SPL27,,5/7/2021 10:43
E6,506,SPL28,,5/7/2021 10:43
F6,443,SPL29,,5/7/2021 10:43
G6,424,SPL30,,5/7/2021 10:43
B7,376,SPL31,,5/7/2021 10:43
C7,334,SPL32,,5/7/2021 10:43
D7,355,SPL33,,5/7/2021 10:43
E7,462,SPL34,,5/7/2021 10:43
F7,514,SPL35,,5/7/2021 10:43
G7,529,SPL36,,5/7/2021 10:43
B8,368,SPL37,,5/7/2021 10:43
C8,341,SPL38,,5/7/2021 10:43
D8,352,SPL39,,5/7/2021 10:43
E8,427,SPL40,,5/7/2021 10:43
F8,416,SPL41,,5/7/2021 10:43
G8,422,SPL42,,5/7/2021 10:43
B9,417,SPL43,,5/7/2021 10:43
C9,340,SPL44,,5/7/2021 10:43
D9,307,SPL45,,5/7/2021 10:43
E9,315,SPL46,,5/7/2021 10:43
F9,314,SPL47,,5/7/2021 10:43
G9,335,SPL48,,5/7/2021 10:43
B10,314,SPL49,,5/7/2021 10:43
C10,323,SPL50,,5/7/2021 10:43
D10,346,SPL51,,5/7/2021 10:43
E10,329,SPL52,,5/7/2021 10:43
F10,273,SPL53,,5/7/2021 10:43
G10,268,SPL54,,5/7/2021 10:43
B11,357,SPL55,,5/7/2021 10:43
C11,319,SPL56,,5/7/2021 10:43
D11,313,SPL57,,5/7/2021 10:43
E11,288,SPL58,,5/7/2021 10:43
F11,286,SPL59,,5/7/2021 10:43
G11,300,SPL60,,5/7/2021 10:43
F12,1.33,SPL61,,5/7/2021 10:43
G12,2.33,SPL62,,5/7/2021 10:43
