Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,427,SPL1,,5/10/2021 12:31
C2,448,SPL2,,5/10/2021 12:31
D2,470,SPL3,,5/10/2021 12:31
E2,451,SPL4,,5/10/2021 12:31
F2,460,SPL5,,5/10/2021 12:31
G2,441,SPL6,,5/10/2021 12:31
B3,453,SPL7,,5/10/2021 12:31
C3,593,SPL8,,5/10/2021 12:31
D3,561,SPL9,,5/10/2021 12:31
E3,566,SPL10,,5/10/2021 12:31
F3,554,SPL11,,5/10/2021 12:31
G3,534,SPL12,,5/10/2021 12:31
B4,536,SPL13,,5/10/2021 12:31
C4,493,SPL14,,5/10/2021 12:31
D4,532,SPL15,,5/10/2021 12:31
E4,490,SPL16,,5/10/2021 12:31
F4,475,SPL17,,5/10/2021 12:31
G4,448,SPL18,,5/10/2021 12:31
B5,525,SPL19,,5/10/2021 12:31
C5,510,SPL20,,5/10/2021 12:31
D5,484,SPL21,,5/10/2021 12:31
E5,573,SPL22,,5/10/2021 12:31
F5,577,SPL23,,5/10/2021 12:31
G5,550,SPL24,,5/10/2021 12:31
B6,712,SPL25,,5/10/2021 12:31
C6,749,SPL26,,5/10/2021 12:31
D6,723,SPL27,,5/10/2021 12:31
E6,605,SPL28,,5/10/2021 12:31
F6,556,SPL29,,5/10/2021 12:31
G6,625,SPL30,,5/10/2021 12:31
B7,636,SPL31,,5/10/2021 12:31
C7,643,SPL32,,5/10/2021 12:31
D7,634,SPL33,,5/10/2021 12:31
E7,626,SPL34,,5/10/2021 12:31
F7,630,SPL35,,5/10/2021 12:31
G7,695,SPL36,,5/10/2021 12:31
B8,745,SPL37,,5/10/2021 12:31
C8,731,SPL38,,5/10/2021 12:31
D8,732,SPL39,,5/10/2021 12:31
E8,656,SPL40,,5/10/2021 12:31
F8,607,SPL41,,5/10/2021 12:31
G8,661,SPL42,,5/10/2021 12:31
B9,600,SPL43,,5/10/2021 12:31
C9,676,SPL44,,5/10/2021 12:31
D9,662,SPL45,,5/10/2021 12:31
E9,609,SPL46,,5/10/2021 12:31
F9,614,SPL47,,5/10/2021 12:31
G9,640,SPL48,,5/10/2021 12:31
B10,475,SPL49,,5/10/2021 12:31
C10,447,SPL50,,5/10/2021 12:31
D10,407,SPL51,,5/10/2021 12:31
E10,453,SPL52,,5/10/2021 12:31
F10,427,SPL53,,5/10/2021 12:31
G10,426,SPL54,,5/10/2021 12:31
B11,503,SPL55,,5/10/2021 12:31
C11,494,SPL56,,5/10/2021 12:31
D11,443,SPL57,,5/10/2021 12:31
E11,415,SPL58,,5/10/2021 12:31
F11,416,SPL59,,5/10/2021 12:31
G11,408,SPL60,,5/10/2021 12:31
F12,1.11,SPL61,,5/10/2021 12:31
G12,2.78,SPL62,,5/10/2021 12:31
