Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,215,SPL1,,5/4/2021 11:21
C2,261,SPL2,,5/4/2021 11:21
D2,267,SPL3,,5/4/2021 11:21
E2,228,SPL4,,5/4/2021 11:21
F2,208,SPL5,,5/4/2021 11:21
G2,202,SPL6,,5/4/2021 11:21
B3,288,SPL7,,5/4/2021 11:21
C3,297,SPL8,,5/4/2021 11:21
D3,299,SPL9,,5/4/2021 11:21
E3,238,SPL10,,5/4/2021 11:21
F3,235,SPL11,,5/4/2021 11:21
G3,226,SPL12,,5/4/2021 11:21
B4,217,SPL13,,5/4/2021 11:21
C4,239,SPL14,,5/4/2021 11:21
D4,229,SPL15,,5/4/2021 11:21
E4,200,SPL16,,5/4/2021 11:21
F4,205,SPL17,,5/4/2021 11:21
G4,201,SPL18,,5/4/2021 11:21
B5,205,SPL19,,5/4/2021 11:21
C5,228,SPL20,,5/4/2021 11:21
D5,239,SPL21,,5/4/2021 11:21
E5,194,SPL22,,5/4/2021 11:21
F5,213,SPL23,,5/4/2021 11:21
G5,200,SPL24,,5/4/2021 11:21
B6,332,SPL25,,5/4/2021 11:21
C6,291,SPL26,,5/4/2021 11:21
D6,308,SPL27,,5/4/2021 11:21
E6,261,SPL28,,5/4/2021 11:21
F6,235,SPL29,,5/4/2021 11:21
G6,200,SPL30,,5/4/2021 11:21
B7,271,SPL31,,5/4/2021 11:21
C7,253,SPL32,,5/4/2021 11:21
D7,226,SPL33,,5/4/2021 11:21
E7,262,SPL34,,5/4/2021 11:21
F7,305,SPL35,,5/4/2021 11:21
G7,284,SPL36,,5/4/2021 11:21
B8,242,SPL37,,5/4/2021 11:21
C8,232,SPL38,,5/4/2021 11:21
D8,200,SPL39,,5/4/2021 11:21
E8,204,SPL40,,5/4/2021 11:21
F8,203,SPL41,,5/4/2021 11:21
G8,197,SPL42,,5/4/2021 11:21
B9,237,SPL43,,5/4/2021 11:21
C9,217,SPL44,,5/4/2021 11:21
D9,214,SPL45,,5/4/2021 11:21
E9,180,SPL46,,5/4/2021 11:21
F9,176,SPL47,,5/4/2021 11:21
G9,183,SPL48,,5/4/2021 11:21
B10,227,SPL49,,5/4/2021 11:21
C10,243,SPL50,,5/4/2021 11:21
D10,223,SPL51,,5/4/2021 11:21
E10,197,SPL52,,5/4/2021 11:21
F10,169,SPL53,,5/4/2021 11:21
G10,177,SPL54,,5/4/2021 11:21
B11,258,SPL55,,5/4/2021 11:21
C11,245,SPL56,,5/4/2021 11:21
D11,202,SPL57,,5/4/2021 11:21
E11,168,SPL58,,5/4/2021 11:21
F11,154,SPL59,,5/4/2021 11:21
G11,163,SPL60,,5/4/2021 11:21
F12,1.78,SPL61,,5/4/2021 11:21
G12,2,SPL62,,5/4/2021 11:21
