Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,207,SPL1,,5/4/2021 11:29
C2,215,SPL2,,5/4/2021 11:29
D2,221,SPL3,,5/4/2021 11:29
E2,217,SPL4,,5/4/2021 11:29
F2,224,SPL5,,5/4/2021 11:29
G2,206,SPL6,,5/4/2021 11:29
B3,239,SPL7,,5/4/2021 11:29
C3,263,SPL8,,5/4/2021 11:29
D3,249,SPL9,,5/4/2021 11:29
E3,239,SPL10,,5/4/2021 11:29
F3,227,SPL11,,5/4/2021 11:29
G3,222,SPL12,,5/4/2021 11:29
B4,329,SPL13,,5/4/2021 11:29
C4,323,SPL14,,5/4/2021 11:29
D4,319,SPL15,,5/4/2021 11:29
E4,291,SPL16,,5/4/2021 11:29
F4,284,SPL17,,5/4/2021 11:29
G4,273,SPL18,,5/4/2021 11:29
B5,277,SPL19,,5/4/2021 11:29
C5,274,SPL20,,5/4/2021 11:29
D5,283,SPL21,,5/4/2021 11:29
E5,238,SPL22,,5/4/2021 11:29
F5,222,SPL23,,5/4/2021 11:29
G5,210,SPL24,,5/4/2021 11:29
B6,367,SPL25,,5/4/2021 11:29
C6,351,SPL26,,5/4/2021 11:29
D6,347,SPL27,,5/4/2021 11:29
E6,229,SPL28,,5/4/2021 11:29
F6,214,SPL29,,5/4/2021 11:29
G6,199,SPL30,,5/4/2021 11:29
B7,389,SPL31,,5/4/2021 11:29
C7,379,SPL32,,5/4/2021 11:29
D7,398,SPL33,,5/4/2021 11:29
E7,257,SPL34,,5/4/2021 11:29
F7,253,SPL35,,5/4/2021 11:29
G7,240,SPL36,,5/4/2021 11:29
B8,340,SPL37,,5/4/2021 11:29
C8,380,SPL38,,5/4/2021 11:29
D8,353,SPL39,,5/4/2021 11:29
E8,260,SPL40,,5/4/2021 11:29
F8,252,SPL41,,5/4/2021 11:29
G8,253,SPL42,,5/4/2021 11:29
B9,340,SPL43,,5/4/2021 11:29
C9,328,SPL44,,5/4/2021 11:29
D9,299,SPL45,,5/4/2021 11:29
E9,172,SPL46,,5/4/2021 11:29
F9,180,SPL47,,5/4/2021 11:29
G9,178,SPL48,,5/4/2021 11:29
B10,202,SPL49,,5/4/2021 11:29
C10,206,SPL50,,5/4/2021 11:29
D10,213,SPL51,,5/4/2021 11:29
E10,232,SPL52,,5/4/2021 11:29
F10,204,SPL53,,5/4/2021 11:29
G10,218,SPL54,,5/4/2021 11:29
B11,222,SPL55,,5/4/2021 11:29
C11,218,SPL56,,5/4/2021 11:29
D11,194,SPL57,,5/4/2021 11:29
E11,188,SPL58,,5/4/2021 11:29
F11,186,SPL59,,5/4/2021 11:29
G11,178,SPL60,,5/4/2021 11:29
F12,1.78,SPL61,,5/4/2021 11:29
G12,1.56,SPL62,,5/4/2021 11:29
