Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,558,SPL1,,5/11/2021 15:36
C2,586,SPL2,,5/11/2021 15:36
D2,630,SPL3,,5/11/2021 15:36
E2,497,SPL4,,5/11/2021 15:36
F2,484,SPL5,,5/11/2021 15:36
G2,511,SPL6,,5/11/2021 15:36
B3,558,SPL7,,5/11/2021 15:36
C3,567,SPL8,,5/11/2021 15:36
D3,570,SPL9,,5/11/2021 15:36
E3,664,SPL10,,5/11/2021 15:36
F3,605,SPL11,,5/11/2021 15:36
G3,581,SPL12,,5/11/2021 15:36
B4,551,SPL13,,5/11/2021 15:36
C4,561,SPL14,,5/11/2021 15:36
D4,549,SPL15,,5/11/2021 15:36
E4,562,SPL16,,5/11/2021 15:36
F4,547,SPL17,,5/11/2021 15:36
G4,497,SPL18,,5/11/2021 15:36
B5,504,SPL19,,5/11/2021 15:36
C5,500,SPL20,,5/11/2021 15:36
D5,477,SPL21,,5/11/2021 15:36
E5,659,SPL22,,5/11/2021 15:36
F5,669,SPL23,,5/11/2021 15:36
G5,625,SPL24,,5/11/2021 15:36
B6,891,SPL25,,5/11/2021 15:36
C6,889,SPL26,,5/11/2021 15:36
D6,853,SPL27,,5/11/2021 15:36
E6,683,SPL28,,5/11/2021 15:36
F6,616,SPL29,,5/11/2021 15:36
G6,674,SPL30,,5/11/2021 15:36
B7,744,SPL31,,5/11/2021 15:36
C7,737,SPL32,,5/11/2021 15:36
D7,733,SPL33,,5/11/2021 15:36
E7,713,SPL34,,5/11/2021 15:36
F7,739,SPL35,,5/11/2021 15:36
G7,795,SPL36,,5/11/2021 15:36
B8,845,SPL37,,5/11/2021 15:36
C8,858,SPL38,,5/11/2021 15:36
D8,886,SPL39,,5/11/2021 15:36
E8,775,SPL40,,5/11/2021 15:36
F8,731,SPL41,,5/11/2021 15:36
G8,766,SPL42,,5/11/2021 15:36
B9,576,SPL43,,5/11/2021 15:36
C9,608,SPL44,,5/11/2021 15:36
D9,706,SPL45,,5/11/2021 15:36
E9,722,SPL46,,5/11/2021 15:36
F9,703,SPL47,,5/11/2021 15:36
G9,780,SPL48,,5/11/2021 15:36
B10,484,SPL49,,5/11/2021 15:36
C10,495,SPL50,,5/11/2021 15:36
D10,465,SPL51,,5/11/2021 15:36
E10,565,SPL52,,5/11/2021 15:36
F10,542,SPL53,,5/11/2021 15:36
G10,546,SPL54,,5/11/2021 15:36
B11,524,SPL55,,5/11/2021 15:36
C11,521,SPL56,,5/11/2021 15:36
D11,489,SPL57,,5/11/2021 15:36
E11,512,SPL58,,5/11/2021 15:36
F11,504,SPL59,,5/11/2021 15:36
G11,525,SPL60,,5/11/2021 15:36
F12,1.33,SPL61,,5/11/2021 15:36
G12,1.44,SPL62,,5/11/2021 15:36
