Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,467,SPL1,,5/27/2021 13:05
C2,479,SPL2,,5/27/2021 13:05
D2,509,SPL3,,5/27/2021 13:05
E2,352,SPL4,,5/27/2021 13:05
F2,864,SPL5,,5/27/2021 13:05
G2,333,SPL6,,5/27/2021 13:05
B3,497,SPL7,,5/27/2021 13:05
C3,1434,SPL8,,5/27/2021 13:05
D3,526,SPL9,,5/27/2021 13:05
E3,327,SPL10,,5/27/2021 13:05
F3,329,SPL11,,5/27/2021 13:05
G3,390,SPL12,,5/27/2021 13:05
B4,490,SPL13,,5/27/2021 13:05
C4,542,SPL14,,5/27/2021 13:05
D4,519,SPL15,,5/27/2021 13:05
E4,375,SPL16,,5/27/2021 13:05
F4,389,SPL17,,5/27/2021 13:05
G4,376,SPL18,,5/27/2021 13:05
B5,486,SPL19,,5/27/2021 13:05
C5,468,SPL20,,5/27/2021 13:05
D5,492,SPL21,,5/27/2021 13:05
E5,362,SPL22,,5/27/2021 13:05
F5,375,SPL23,,5/27/2021 13:05
G5,352,SPL24,,5/27/2021 13:05
B6,479,SPL25,,5/27/2021 13:05
C6,473,SPL26,,5/27/2021 13:05
D6,539,SPL27,,5/27/2021 13:05
E6,560,SPL28,,5/27/2021 13:05
F6,607,SPL29,,5/27/2021 13:05
G6,560,SPL30,,5/27/2021 13:05
B7,508,SPL31,,5/27/2021 13:05
C7,505,SPL32,,5/27/2021 13:05
D7,425,SPL33,,5/27/2021 13:05
E7,476,SPL34,,5/27/2021 13:05
F7,458,SPL35,,5/27/2021 13:05
G7,431,SPL36,,5/27/2021 13:05
B8,433,SPL37,,5/27/2021 13:05
C8,494,SPL38,,5/27/2021 13:05
D8,493,SPL39,,5/27/2021 13:05
E8,521,SPL40,,5/27/2021 13:05
F8,491,SPL41,,5/27/2021 13:05
G8,547,SPL42,,5/27/2021 13:05
B9,590,SPL43,,5/27/2021 13:05
C9,481,SPL44,,5/27/2021 13:05
D9,521,SPL45,,5/27/2021 13:05
E9,386,SPL46,,5/27/2021 13:05
F9,379,SPL47,,5/27/2021 13:05
G9,390,SPL48,,5/27/2021 13:05
B10,498,SPL49,,5/27/2021 13:05
C10,1350,SPL50,,5/27/2021 13:05
D10,494,SPL51,,5/27/2021 13:05
E10,422,SPL52,,5/27/2021 13:05
F10,411,SPL53,,5/27/2021 13:05
G10,437,SPL54,,5/27/2021 13:05
B11,440,SPL55,,5/27/2021 13:05
C11,443,SPL56,,5/27/2021 13:05
D11,404,SPL57,,5/27/2021 13:05
E11,335,SPL58,,5/27/2021 13:05
F11,350,SPL59,,5/27/2021 13:05
G11,387,SPL60,,5/27/2021 13:05
F12,1.11,SPL61,,5/27/2021 13:05
G12,1.33,SPL62,,5/27/2021 13:05
