Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,533,SPL1,,5/12/2021 16:49
C2,481,SPL2,,5/12/2021 16:49
D2,517,SPL3,,5/12/2021 16:49
E2,812,SPL4,,5/12/2021 16:49
F2,629,SPL5,,5/12/2021 16:49
G2,627,SPL6,,5/12/2021 16:49
B3,636,SPL7,,5/12/2021 16:49
C3,628,SPL8,,5/12/2021 16:49
D3,528,SPL9,,5/12/2021 16:49
E3,709,SPL10,,5/12/2021 16:49
F3,630,SPL11,,5/12/2021 16:49
G3,692,SPL12,,5/12/2021 16:49
B4,595,SPL13,,5/12/2021 16:49
C4,520,SPL14,,5/12/2021 16:49
D4,508,SPL15,,5/12/2021 16:49
E4,739,SPL16,,5/12/2021 16:49
F4,779,SPL17,,5/12/2021 16:49
G4,708,SPL18,,5/12/2021 16:49
B5,663,SPL19,,5/12/2021 16:49
C5,512,SPL20,,5/12/2021 16:49
D5,490,SPL21,,5/12/2021 16:49
E5,765,SPL22,,5/12/2021 16:49
F5,746,SPL23,,5/12/2021 16:49
G5,726,SPL24,,5/12/2021 16:49
B6,868,SPL25,,5/12/2021 16:49
C6,944,SPL26,,5/12/2021 16:49
D6,834,SPL27,,5/12/2021 16:49
E6,797,SPL28,,5/12/2021 16:49
F6,673,SPL29,,5/12/2021 16:49
G6,723,SPL30,,5/12/2021 16:49
B7,907,SPL31,,5/12/2021 16:49
C7,712,SPL32,,5/12/2021 16:49
D7,824,SPL33,,5/12/2021 16:49
E7,789,SPL34,,5/12/2021 16:49
F7,709,SPL35,,5/12/2021 16:49
G7,657,SPL36,,5/12/2021 16:49
B8,664,SPL37,,5/12/2021 16:49
C8,811,SPL38,,5/12/2021 16:49
D8,779,SPL39,,5/12/2021 16:49
E8,690,SPL40,,5/12/2021 16:49
F8,653,SPL41,,5/12/2021 16:49
G8,653,SPL42,,5/12/2021 16:49
B9,726,SPL43,,5/12/2021 16:49
C9,725,SPL44,,5/12/2021 16:49
D9,811,SPL45,,5/12/2021 16:49
E9,661,SPL46,,5/12/2021 16:49
F9,652,SPL47,,5/12/2021 16:49
G9,688,SPL48,,5/12/2021 16:49
B10,523,SPL49,,5/12/2021 16:49
C10,530,SPL50,,5/12/2021 16:49
D10,532,SPL51,,5/12/2021 16:49
E10,419,SPL52,,5/12/2021 16:49
F10,446,SPL53,,5/12/2021 16:49
G10,487,SPL54,,5/12/2021 16:49
B11,581,SPL55,,5/12/2021 16:49
C11,562,SPL56,,5/12/2021 16:49
D11,520,SPL57,,5/12/2021 16:49
E11,490,SPL58,,5/12/2021 16:49
F11,492,SPL59,,5/12/2021 16:49
G11,492,SPL60,,5/12/2021 16:49
F12,1.89,SPL61,,5/12/2021 16:49
G12,1.89,SPL62,,5/12/2021 16:49
