Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,25.2,SPL1,,5/19/2021 13:25
C2,28.2,SPL2,,5/19/2021 13:25
D2,30.2,SPL3,,5/19/2021 13:25
E2,13.1,SPL4,,5/19/2021 13:25
F2,11,SPL5,,5/19/2021 13:25
G2,11.6,SPL6,,5/19/2021 13:25
B3,28.9,SPL7,,5/19/2021 13:25
C3,27.6,SPL8,,5/19/2021 13:25
D3,29,SPL9,,5/19/2021 13:25
E3,13.1,SPL10,,5/19/2021 13:25
F3,13.8,SPL11,,5/19/2021 13:25
G3,13.1,SPL12,,5/19/2021 13:25
B4,23.4,SPL13,,5/19/2021 13:25
C4,26.9,SPL14,,5/19/2021 13:25
D4,25.4,SPL15,,5/19/2021 13:25
E4,16.9,SPL16,,5/19/2021 13:25
F4,14.9,SPL17,,5/19/2021 13:25
G4,16.1,SPL18,,5/19/2021 13:25
B5,25.1,SPL19,,5/19/2021 13:25
C5,22.2,SPL20,,5/19/2021 13:25
D5,30.8,SPL21,,5/19/2021 13:25
E5,11.9,SPL22,,5/19/2021 13:25
F5,11.6,SPL23,,5/19/2021 13:25
G5,13.8,SPL24,,5/19/2021 13:25
B6,23.1,SPL25,,5/19/2021 13:25
C6,17.3,SPL26,,5/19/2021 13:25
D6,18.3,SPL27,,5/19/2021 13:25
E6,12.7,SPL28,,5/19/2021 13:25
F6,12,SPL29,,5/19/2021 13:25
G6,12.4,SPL30,,5/19/2021 13:25
B7,16.6,SPL31,,5/19/2021 13:25
C7,16.4,SPL32,,5/19/2021 13:25
D7,7.89,SPL33,,5/19/2021 13:25
E7,12.3,SPL34,,5/19/2021 13:25
F7,14,SPL35,,5/19/2021 13:25
G7,15.9,SPL36,,5/19/2021 13:25
B8,14.3,SPL37,,5/19/2021 13:25
C8,17.8,SPL38,,5/19/2021 13:25
D8,17.3,SPL39,,5/19/2021 13:25
E8,10.1,SPL40,,5/19/2021 13:25
F8,8.89,SPL41,,5/19/2021 13:25
G8,8.44,SPL42,,5/19/2021 13:25
B9,19.6,SPL43,,5/19/2021 13:25
C9,19.2,SPL44,,5/19/2021 13:25
D9,14.1,SPL45,,5/19/2021 13:25
E9,10.9,SPL46,,5/19/2021 13:25
F9,10.1,SPL47,,5/19/2021 13:25
G9,12.4,SPL48,,5/19/2021 13:25
B10,14.4,SPL49,,5/19/2021 13:25
C10,12.3,SPL50,,5/19/2021 13:25
D10,12.7,SPL51,,5/19/2021 13:25
E10,13.7,SPL52,,5/19/2021 13:25
F10,11.9,SPL53,,5/19/2021 13:25
G10,13.7,SPL54,,5/19/2021 13:25
B11,13.7,SPL55,,5/19/2021 13:25
C11,14.2,SPL56,,5/19/2021 13:25
D11,13.2,SPL57,,5/19/2021 13:25
E11,12.2,SPL58,,5/19/2021 13:25
F11,12.4,SPL59,,5/19/2021 13:25
G11,13.4,SPL60,,5/19/2021 13:25
F12,2.67,SPL61,,5/19/2021 13:25
G12,1.67,SPL62,,5/19/2021 13:25
