Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,224,SPL1,,5/22/2021 17:45
C2,233,SPL2,,5/22/2021 17:45
D2,233,SPL3,,5/22/2021 17:45
E2,340,SPL4,,5/22/2021 17:45
F2,402,SPL5,,5/22/2021 17:45
G2,405,SPL6,,5/22/2021 17:45
B3,237,SPL7,,5/22/2021 17:45
C3,224,SPL8,,5/22/2021 17:45
D3,204,SPL9,,5/22/2021 17:45
E3,336,SPL10,,5/22/2021 17:45
F3,337,SPL11,,5/22/2021 17:45
G3,328,SPL12,,5/22/2021 17:45
B4,218,SPL13,,5/22/2021 17:45
C4,224,SPL14,,5/22/2021 17:45
D4,202,SPL15,,5/22/2021 17:45
E4,353,SPL16,,5/22/2021 17:45
F4,301,SPL17,,5/22/2021 17:45
G4,322,SPL18,,5/22/2021 17:45
B5,182,SPL19,,5/22/2021 17:45
C5,188,SPL20,,5/22/2021 17:45
D5,198,SPL21,,5/22/2021 17:45
E5,298,SPL22,,5/22/2021 17:45
F5,300,SPL23,,5/22/2021 17:45
G5,337,SPL24,,5/22/2021 17:45
B6,198,SPL25,,5/22/2021 17:45
C6,221,SPL26,,5/22/2021 17:45
D6,248,SPL27,,5/22/2021 17:45
E6,326,SPL28,,5/22/2021 17:45
F6,309,SPL29,,5/22/2021 17:45
G6,314,SPL30,,5/22/2021 17:45
B7,309,SPL31,,5/22/2021 17:45
C7,266,SPL32,,5/22/2021 17:45
D7,308,SPL33,,5/22/2021 17:45
E7,180,SPL34,,5/22/2021 17:45
F7,195,SPL35,,5/22/2021 17:45
G7,289,SPL36,,5/22/2021 17:45
B8,299,SPL37,,5/22/2021 17:45
C8,301,SPL38,,5/22/2021 17:45
D8,285,SPL39,,5/22/2021 17:45
E8,261,SPL40,,5/22/2021 17:45
F8,271,SPL41,,5/22/2021 17:45
G8,304,SPL42,,5/22/2021 17:45
B9,281,SPL43,,5/22/2021 17:45
C9,281,SPL44,,5/22/2021 17:45
D9,324,SPL45,,5/22/2021 17:45
E9,158,SPL46,,5/22/2021 17:45
F9,143,SPL47,,5/22/2021 17:45
G9,160,SPL48,,5/22/2021 17:45
B10,290,SPL49,,5/22/2021 17:45
C10,288,SPL50,,5/22/2021 17:45
D10,262,SPL51,,5/22/2021 17:45
E10,286,SPL52,,5/22/2021 17:45
F10,296,SPL53,,5/22/2021 17:45
G10,300,SPL54,,5/22/2021 17:45
B11,280,SPL55,,5/22/2021 17:45
C11,275,SPL56,,5/22/2021 17:45
D11,274,SPL57,,5/22/2021 17:45
E11,217,SPL58,,5/22/2021 17:45
F11,221,SPL59,,5/22/2021 17:45
G11,220,SPL60,,5/22/2021 17:45
F12,2.33,SPL61,,5/22/2021 17:45
G12,2,SPL62,,5/22/2021 17:45
