Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,271,SPL1,,5/23/2021 16:12
C2,270,SPL2,,5/23/2021 16:12
D2,282,SPL3,,5/23/2021 16:12
E2,232,SPL4,,5/23/2021 16:12
F2,478,SPL5,,5/23/2021 16:12
G2,234,SPL6,,5/23/2021 16:12
B3,247,SPL7,,5/23/2021 16:12
C3,695,SPL8,,5/23/2021 16:12
D3,257,SPL9,,5/23/2021 16:12
E3,231,SPL10,,5/23/2021 16:12
F3,235,SPL11,,5/23/2021 16:12
G3,264,SPL12,,5/23/2021 16:12
B4,253,SPL13,,5/23/2021 16:12
C4,336,SPL14,,5/23/2021 16:12
D4,253,SPL15,,5/23/2021 16:12
E4,253,SPL16,,5/23/2021 16:12
F4,244,SPL17,,5/23/2021 16:12
G4,290,SPL18,,5/23/2021 16:12
B5,232,SPL19,,5/23/2021 16:12
C5,222,SPL20,,5/23/2021 16:12
D5,259,SPL21,,5/23/2021 16:12
E5,235,SPL22,,5/23/2021 16:12
F5,257,SPL23,,5/23/2021 16:12
G5,255,SPL24,,5/23/2021 16:12
B6,337,SPL25,,5/23/2021 16:12
C6,306,SPL26,,5/23/2021 16:12
D6,340,SPL27,,5/23/2021 16:12
E6,259,SPL28,,5/23/2021 16:12
F6,268,SPL29,,5/23/2021 16:12
G6,235,SPL30,,5/23/2021 16:12
B7,365,SPL31,,5/23/2021 16:12
C7,335,SPL32,,5/23/2021 16:12
D7,282,SPL33,,5/23/2021 16:12
E7,229,SPL34,,5/23/2021 16:12
F7,204,SPL35,,5/23/2021 16:12
G7,193,SPL36,,5/23/2021 16:12
B8,245,SPL37,,5/23/2021 16:12
C8,273,SPL38,,5/23/2021 16:12
D8,266,SPL39,,5/23/2021 16:12
E8,272,SPL40,,5/23/2021 16:12
F8,253,SPL41,,5/23/2021 16:12
G8,272,SPL42,,5/23/2021 16:12
B9,337,SPL43,,5/23/2021 16:12
C9,293,SPL44,,5/23/2021 16:12
D9,347,SPL45,,5/23/2021 16:12
E9,189,SPL46,,5/23/2021 16:12
F9,182,SPL47,,5/23/2021 16:12
G9,181,SPL48,,5/23/2021 16:12
B10,315,SPL49,,5/23/2021 16:12
C10,429,SPL50,,5/23/2021 16:12
D10,270,SPL51,,5/23/2021 16:12
E10,258,SPL52,,5/23/2021 16:12
F10,259,SPL53,,5/23/2021 16:12
G10,246,SPL54,,5/23/2021 16:12
B11,260,SPL55,,5/23/2021 16:12
C11,283,SPL56,,5/23/2021 16:12
D11,227,SPL57,,5/23/2021 16:12
E11,148,SPL58,,5/23/2021 16:12
F11,158,SPL59,,5/23/2021 16:12
G11,186,SPL60,,5/23/2021 16:12
F12,1,SPL61,,5/23/2021 16:12
G12,0.889,SPL62,,5/23/2021 16:12
