Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,133D3
B3,135D3
B4,137D3
B5,141D3
B6,143D3
B7,153D3
B8,147D3
B9,149D3
B10,151D3
B11,AC
B12,MC
C1,MC
C2,133D3
C3,135D3
C4,137D3
C5,141D3
C6,143D3
C7,153D3
C8,147D3
C9,149D3
C10,151D3
C11,AC
C12,MC
D1,MC
D2,133D3
D3,135D3
D4,137D3
D5,141D3
D6,143D3
D7,153D3
D8,147D3
D9,149D3
D10,151D3
D11,AC
D12,MC
E1,MC
E2,134D3
E3,"127,1D3"
E4,139D3
E5,142D3
E6,129D3
E7,146D3
E8,AC
E9,150D3
E10,152D3
E11,AC
E12,MC
F1,MC
F2,134D3
F3,"127,1D3"
F4,139D3
F5,142D3
F6,129D3
F7,146D3
F8,AC
F9,150D3
F10,152D3
F11,MC
F12,MC
G1,MC
G2,134D3
G3,"127,1D3"
G4,139D3
G5,142D3
G6,129D3
G7,146D3
G8,AC
G9,150D3
G10,152D3
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
