"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",420,"SPL1",2021-02-18 12:37:38
"C2",179,"SPL2",2021-02-18 12:37:38
"D2",550,"SPL3",2021-02-18 12:37:38
"E2",415,"SPL4",2021-02-18 12:37:38
"F2",89.8,"SPL5",2021-02-18 12:37:38
"G2",492,"SPL6",2021-02-18 12:37:38
"B3",358,"SPL7",2021-02-18 12:37:38
"C3",158,"SPL8",2021-02-18 12:37:38
"D3",494,"SPL9",2021-02-18 12:37:38
"E3",362,"SPL10",2021-02-18 12:37:38
"F3",67.9,"SPL11",2021-02-18 12:37:38
"G3",456,"SPL12",2021-02-18 12:37:38
"B4",320,"SPL13",2021-02-18 12:37:38
"C4",170,"SPL14",2021-02-18 12:37:38
"D4",426,"SPL15",2021-02-18 12:37:38
"E4",369,"SPL16",2021-02-18 12:37:38
"F4",410,"SPL17",2021-02-18 12:37:38
"G4",506,"SPL18",2021-02-18 12:37:38
"B5",452,"SPL19",2021-02-18 12:37:38
"C5",69.2,"SPL20",2021-02-18 12:37:38
"D5",375,"SPL21",2021-02-18 12:37:38
"E5",414,"SPL22",2021-02-18 12:37:38
"F5",506,"SPL23",2021-02-18 12:37:38
"G5",421,"SPL24",2021-02-18 12:37:38
"B6",428,"SPL25",2021-02-18 12:37:38
"C6",76.6,"SPL26",2021-02-18 12:37:38
"D6",473,"SPL27",2021-02-18 12:37:38
"E6",354,"SPL28",2021-02-18 12:37:38
"F6",1231,"SPL29",2021-02-18 12:37:38
"G6",1177,"SPL30",2021-02-18 12:37:38
"B7",449,"SPL31",2021-02-18 12:37:38
"C7",81.6,"SPL32",2021-02-18 12:37:38
"D7",377,"SPL33",2021-02-18 12:37:38
"E7",365,"SPL34",2021-02-18 12:37:38
"F7",498,"SPL35",2021-02-18 12:37:38
"G7",425,"SPL36",2021-02-18 12:37:38
"B8",377,"SPL37",2021-02-18 12:37:38
"C8",360,"SPL38",2021-02-18 12:37:38
"D8",439,"SPL39",2021-02-18 12:37:38
"E8",411,"SPL40",2021-02-18 12:37:38
"F8",309,"SPL41",2021-02-18 12:37:38
"G8",389,"SPL42",2021-02-18 12:37:38
"B9",392,"SPL43",2021-02-18 12:37:38
"C9",345,"SPL44",2021-02-18 12:37:38
"D9",470,"SPL45",2021-02-18 12:37:38
"E9",429,"SPL46",2021-02-18 12:37:38
"F9",371,"SPL47",2021-02-18 12:37:38
"G9",384,"SPL48",2021-02-18 12:37:38
"B10",403,"SPL49",2021-02-18 12:37:38
"C10",372,"SPL50",2021-02-18 12:37:38
"D10",445,"SPL51",2021-02-18 12:37:38
"E10",438,"SPL52",2021-02-18 12:37:38
"F10",278,"SPL53",2021-02-18 12:37:38
"G10",367,"SPL54",2021-02-18 12:37:38
"B11",341,"SPL55",2021-02-18 12:37:38
"C11",338,"SPL56",2021-02-18 12:37:38
"D11",340,"SPL57",2021-02-18 12:37:38
"E11",371,"SPL58",2021-02-18 12:37:38
"F11",2,"SPL59",2021-02-18 12:37:38
"G11",2.11,"SPL60",2021-02-18 12:37:38
