"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",685,"SPL1",2021-02-24 13:45:18
"C2",574,"SPL2",2021-02-24 13:45:18
"D2",1020,"SPL3",2021-02-24 13:45:18
"E2",629,"SPL4",2021-02-24 13:45:18
"F2",310,"SPL5",2021-02-24 13:45:18
"G2",907,"SPL6",2021-02-24 13:45:18
"B3",477,"SPL7",2021-02-24 13:45:18
"C3",547,"SPL8",2021-02-24 13:45:18
"D3",1015,"SPL9",2021-02-24 13:45:18
"E3",657,"SPL10",2021-02-24 13:45:18
"F3",237,"SPL11",2021-02-24 13:45:18
"G3",831,"SPL12",2021-02-24 13:45:18
"B4",518,"SPL13",2021-02-24 13:45:18
"C4",544,"SPL14",2021-02-24 13:45:18
"D4",952,"SPL15",2021-02-24 13:45:18
"E4",671,"SPL16",2021-02-24 13:45:18
"F4",1148,"SPL17",2021-02-24 13:45:18
"G4",1049,"SPL18",2021-02-24 13:45:18
"B5",1027,"SPL19",2021-02-24 13:45:18
"C5",103,"SPL20",2021-02-24 13:45:18
"D5",664,"SPL21",2021-02-24 13:45:18
"E5",828,"SPL22",2021-02-24 13:45:18
"F5",954,"SPL23",2021-02-24 13:45:18
"G5",937,"SPL24",2021-02-24 13:45:18
"B6",892,"SPL25",2021-02-24 13:45:18
"C6",88.7,"SPL26",2021-02-24 13:45:18
"D6",1102,"SPL27",2021-02-24 13:45:18
"E6",703,"SPL28",2021-02-24 13:45:18
"F6",1219,"SPL29",2021-02-24 13:45:18
"G6",1192,"SPL30",2021-02-24 13:45:18
"B7",1062,"SPL31",2021-02-24 13:45:18
"C7",108,"SPL32",2021-02-24 13:45:18
"D7",706,"SPL33",2021-02-24 13:45:18
"E7",741,"SPL34",2021-02-24 13:45:18
"F7",966,"SPL35",2021-02-24 13:45:18
"G7",1044,"SPL36",2021-02-24 13:45:18
"B8",716,"SPL37",2021-02-24 13:45:18
"C8",880,"SPL38",2021-02-24 13:45:18
"D8",784,"SPL39",2021-02-24 13:45:18
"E8",906,"SPL40",2021-02-24 13:45:18
"F8",754,"SPL41",2021-02-24 13:45:18
"G8",789,"SPL42",2021-02-24 13:45:18
"B9",845,"SPL43",2021-02-24 13:45:18
"C9",802,"SPL44",2021-02-24 13:45:18
"D9",830,"SPL45",2021-02-24 13:45:18
"E9",934,"SPL46",2021-02-24 13:45:18
"F9",745,"SPL47",2021-02-24 13:45:18
"G9",799,"SPL48",2021-02-24 13:45:18
"B10",877,"SPL49",2021-02-24 13:45:18
"C10",799,"SPL50",2021-02-24 13:45:18
"D10",702,"SPL51",2021-02-24 13:45:18
"E10",920,"SPL52",2021-02-24 13:45:18
"F10",764,"SPL53",2021-02-24 13:45:18
"G10",839,"SPL54",2021-02-24 13:45:18
"B11",617,"SPL55",2021-02-24 13:45:18
"C11",729,"SPL56",2021-02-24 13:45:18
"D11",629,"SPL57",2021-02-24 13:45:18
"E11",591,"SPL58",2021-02-24 13:45:18
"F11",1.22,"SPL59",2021-02-24 13:45:18
"G11",2.33,"SPL60",2021-02-24 13:45:18
