Well ID,Well,"Mean RFU [ChlA_70:460,685]","Std Dev RFU [ChlA_70:460,685]","CV RFU [ChlA_70:460,685]","Mean RFU [ChlA_100:460,685]","Std Dev RFU [ChlA_100:460,685]","CV RFU [ChlA_100:460,685]",Reading Date/Time,Time (Hours)
SPL1,B2,32,2.977,9.27,420,31.062,7.398,11/12/2019 9:56,91
SPL2,C2,31,5.239,16.779,371,91.046,24.533,11/12/2019 9:56,91
SPL3,D2,30,5.593,18.37,361,64.622,17.923,11/12/2019 9:56,91
SPL4,E2,8,8.559,102.703,105,111.97,106.864,11/12/2019 9:56,91
SPL5,F2,8,9.798,122.474,111,130.012,117.128,11/12/2019 9:56,91
SPL6,G2,9,8.507,95.699,80,32.645,40.92,11/12/2019 9:56,91
SPL7,B3,7,3.27,48.249,70,66.628,95.791,11/12/2019 9:56,91
SPL8,C3,8,5.503,72.828,75,81.608,109.135,11/12/2019 9:56,91
SPL9,D3,5,3.909,71.792,65,69.814,107.406,11/12/2019 9:56,91
SPL10,E3,7,5.769,87.997,83,85.203,103.207,11/12/2019 9:56,91
SPL11,F3,6,5.89,94.664,71,100.323,141.744,11/12/2019 9:56,91
SPL12,G3,5,6.745,126.476,70,99.34,142.822,11/12/2019 9:56,91
SPL13,B4,10,5.48,57.346,99,129.919,130.937,11/12/2019 9:56,91
SPL14,C4,10,8.398,87.887,113,163.565,144.89,11/12/2019 9:56,91
SPL15,D4,8,8.007,101.496,99,138.051,138.822,11/12/2019 9:56,91
SPL16,E4,10,2.5,25.862,118,27.799,23.47,11/12/2019 9:56,91
SPL17,F4,12,3.93,33.367,138,54.67,39.744,11/12/2019 9:56,91
SPL18,G4,7,3.346,49.364,72,52.25,72.458,11/12/2019 9:56,91
SPL19,B5,8,8.652,109.676,77,119.144,154.51,11/12/2019 9:56,91
SPL20,C5,9,6.928,74.231,98,83.993,86.097,11/12/2019 9:56,91
SPL21,D5,6,9.44,160.3,73,125.714,171.688,11/12/2019 9:56,91
SPL22,E5,1,0.882,158.745,2,1.269,60.125,11/12/2019 9:56,91
SPL23,F5,1,0.972,124.949,0,0.707,212.132,11/12/2019 9:56,91
SPL24,G5,1,1,150,2,1.581,67.763,11/12/2019 9:56,91
SPL25,B6,8,6.476,83.269,83,122.294,146.949,11/12/2019 9:56,91
SPL26,C6,8,6.782,88.465,92,129.857,140.639,11/12/2019 9:56,91
SPL27,D6,8,7.55,98.476,93,144.72,155.612,11/12/2019 9:56,91
SPL28,E6,10,8.847,92.59,115,127.441,111.141,11/12/2019 9:56,91
SPL29,F6,10,10.047,98.287,124,153.148,123.617,11/12/2019 9:56,91
SPL30,G6,10,12.59,121.836,125,148.854,118.766,11/12/2019 9:56,91
SPL31,B7,7,5.819,84.47,80,67.241,83.935,11/12/2019 9:56,91
SPL32,C7,7,6.153,89.32,79,86.779,109.232,11/12/2019 9:56,91
SPL33,D7,7,6.946,104.193,75,99.139,131.794,11/12/2019 9:56,91
SPL34,E7,10,7.071,70.711,109,123.13,113.079,11/12/2019 9:56,91
SPL35,F7,10,12.923,133.685,101,186.921,185.275,11/12/2019 9:56,91
SPL36,G7,9,4.664,53.812,107,64.837,60.344,11/12/2019 9:56,91
SPL37,B8,8,6.648,80.853,99,126.88,128.018,11/12/2019 9:56,91
SPL38,C8,8,8.413,99.627,102,121.739,119.744,11/12/2019 9:56,91
SPL39,D8,8,8.772,112.78,94,156.383,167.156,11/12/2019 9:56,91
SPL40,E8,8,8.322,108.543,88,116.273,132.295,11/12/2019 9:56,91
SPL41,F8,7,7.228,108.426,90,105.219,116.91,11/12/2019 9:56,91
SPL42,G8,7,6.852,94.868,88,88.844,101.472,11/12/2019 9:56,91
SPL43,B9,8,3.712,49.127,101,41.876,41.416,11/12/2019 9:56,91
SPL44,C9,9,3.219,35.329,94,41.154,43.729,11/12/2019 9:56,91
SPL45,D9,14,3.539,26.111,143,55.527,38.83,11/12/2019 9:56,91
SPL46,E9,8,3.202,38.419,96,41.967,43.565,11/12/2019 9:56,91
SPL47,F9,8,4.64,54.945,103,61.36,59.38,11/12/2019 9:56,91
SPL48,G9,10,4.295,42.013,116,50.018,42.954,11/12/2019 9:56,91
SPL49,B10,6,7.937,140.069,71,138.633,196.178,11/12/2019 9:56,91
SPL50,C10,5,8.393,160.719,71,135.544,190.015,11/12/2019 9:56,91
SPL51,D10,7,10.39,153.29,84,150.756,179.472,11/12/2019 9:56,91
SPL52,E10,10,2.186,20.928,132,18.728,14.224,11/12/2019 9:56,91
SPL53,F10,9,1.856,20.124,130,48.148,37.164,11/12/2019 9:56,91
SPL54,G10,11,2.224,19.814,143,43.131,30.091,11/12/2019 9:56,91
SPL55,B11,10,7.248,75.847,101,122.692,120.945,11/12/2019 9:56,91
SPL56,C11,8,8.323,98.566,88,138.528,156.627,11/12/2019 9:56,91
SPL57,D11,9,9.667,110.127,91,165.188,180.863,11/12/2019 9:56,91
SPL58,E11,9,10.394,121.484,89,147.406,165.625,11/12/2019 9:56,91
SPL59,F11,1,0.882,158.745,1,1.414,106.066,11/12/2019 9:56,91
SPL60,G11,1,1.616,181.788,2,1.014,65.172,11/12/2019 9:56,91
