"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",433,"SPL1",2021-03-05 11:38:20
"C2",64.6,"SPL2",2021-03-05 11:38:20
"D2",329,"SPL3",2021-03-05 11:38:20
"E2",366,"SPL4",2021-03-05 11:38:20
"F2",271,"SPL5",2021-03-05 11:38:20
"G2",392,"SPL6",2021-03-05 11:38:20
"B3",415,"SPL7",2021-03-05 11:38:20
"C3",50.3,"SPL8",2021-03-05 11:38:20
"D3",330,"SPL9",2021-03-05 11:38:20
"E3",159,"SPL10",2021-03-05 11:38:20
"F3",292,"SPL11",2021-03-05 11:38:20
"G3",412,"SPL12",2021-03-05 11:38:20
"B4",382,"SPL13",2021-03-05 11:38:20
"C4",59.7,"SPL14",2021-03-05 11:38:20
"D4",342,"SPL15",2021-03-05 11:38:20
"E4",134,"SPL16",2021-03-05 11:38:20
"F4",304,"SPL17",2021-03-05 11:38:20
"G4",411,"SPL18",2021-03-05 11:38:20
"B5",453,"SPL19",2021-03-05 11:38:20
"C5",504,"SPL20",2021-03-05 11:38:20
"D5",414,"SPL21",2021-03-05 11:38:20
"E5",328,"SPL22",2021-03-05 11:38:20
"F5",268,"SPL23",2021-03-05 11:38:20
"G5",35.7,"SPL24",2021-03-05 11:38:20
"B6",425,"SPL25",2021-03-05 11:38:20
"C6",386,"SPL26",2021-03-05 11:38:20
"D6",366,"SPL27",2021-03-05 11:38:20
"E6",305,"SPL28",2021-03-05 11:38:20
"F6",245,"SPL29",2021-03-05 11:38:20
"G6",31.2,"SPL30",2021-03-05 11:38:20
"B7",422,"SPL31",2021-03-05 11:38:20
"C7",353,"SPL32",2021-03-05 11:38:20
"D7",396,"SPL33",2021-03-05 11:38:20
"E7",282,"SPL34",2021-03-05 11:38:20
"F7",259,"SPL35",2021-03-05 11:38:20
"G7",30.1,"SPL36",2021-03-05 11:38:20
"B8",415,"SPL37",2021-03-05 11:38:20
"C8",339,"SPL38",2021-03-05 11:38:20
"D8",474,"SPL39",2021-03-05 11:38:20
"E8",374,"SPL40",2021-03-05 11:38:20
"F8",389,"SPL41",2021-03-05 11:38:20
"G8",264,"SPL42",2021-03-05 11:38:20
"B9",399,"SPL43",2021-03-05 11:38:20
"C9",383,"SPL44",2021-03-05 11:38:20
"D9",341,"SPL45",2021-03-05 11:38:20
"E9",366,"SPL46",2021-03-05 11:38:20
"F9",358,"SPL47",2021-03-05 11:38:20
"G9",302,"SPL48",2021-03-05 11:38:20
"B10",386,"SPL49",2021-03-05 11:38:20
"C10",367,"SPL50",2021-03-05 11:38:20
"D10",400,"SPL51",2021-03-05 11:38:20
"E10",331,"SPL52",2021-03-05 11:38:20
"F10",313,"SPL53",2021-03-05 11:38:20
"G10",374,"SPL54",2021-03-05 11:38:20
"B11",371,"SPL55",2021-03-05 11:38:20
"C11",383,"SPL56",2021-03-05 11:38:20
"D11",351,"SPL57",2021-03-05 11:38:20
"E11",364,"SPL58",2021-03-05 11:38:20
"F11",2.22,"SPL59",2021-03-05 11:38:20
"G11",1.44,"SPL60",2021-03-05 11:38:20
