"","Group","asv","count","...1","Isolate_Number","jar_no","host_species","capture_day","seq_type","color","total_count_group","rel_abund","contaminated","size","domain","phylum","class","order","family","genus"
"1","100_D3","ASV25790",1,274,"100D3","J20-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"2","101_D3","ASV14451",1,275,"101D3","J20-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"3","103D31","ASV00141",2203,196,"103D31","J30-","Monoraphidium","D31","Miseq","#FDC086",8966,0.24570600044613,TRUE,2205,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"4","103point1D31","ASV00078",7224,195,"103_1D31","J30-","Monoraphidium","D31","Miseq","#FDC086",8567,0.843235671763745,TRUE,7230,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"5","106_D3","ASV14457",1,281,"106D3","J20-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"6","111_D3","ASV14460",1,289,"111D3","J20-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"7","111point1D31","ASV00054",419,202,"111_1D31","J33-","Monoraphidium","D31","Miseq","#FDC086",8168,0.0512977473065622,TRUE,11739,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"8","114_D3","ASV01449",1,291,"114D3","J21-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,7,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia"
"9","117point1D31","ASV00067",8745,212,"117_1D31","J35-","Monoraphidium","D31","Miseq","#FDC086",8773,0.996808389376496,TRUE,8767,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"10","118D31","ASV00054",8041,214,"118D31","J35-","Monoraphidium","D31","Miseq","#FDC086",8954,0.898034398034398,TRUE,11739,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"11","128D31","ASV00054",486,388,"128D31","J39-","Selenastrum","D31","Miseq","#386CB0",8556,0.0568022440392707,TRUE,11739,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"12","128_D3","ASV14465",1,309,"128D3","J24-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"13","134_D3","ASV14466",1,317,"134D3","J24-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae_unclassified"
"14","138D31","ASV00072",7939,400,"138D31","J41-","Selenastrum","D31","Miseq","#386CB0",8635,0.919397799652577,TRUE,8069,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"15","142point1D31","ASV00076",7347,406,"142_1D31","J42-","Selenastrum","D31","Miseq","#386CB0",8662,0.848187485569153,TRUE,7347,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"16","143_D3","ASV14469",1,324,"143D3","J25-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"17","148_D3","ASV14472",1,329,"148D3","J26-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"18","150point1D31","ASV00041",8114,416,"150_1D31","J44-","Selenastrum","D31","Miseq","#386CB0",8272,0.980899419729207,TRUE,18363,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"19","173_D3","ASV14473",1,237,"173D3","J30-","Monoraphidium","D3","Sanger","#FDC086",1,1,TRUE,1,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"20","176_D3","ASV14433",1,240,"176D3","J31-","Monoraphidium","D3","Sanger","#FDC086",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"21","185D3","ASV00338",243,251,"185D3","J33-","Monoraphidium","D3","Miseq","#FDC086",8167,0.0297538875964246,TRUE,243,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"22","194_D3","ASV14437",1,261,"194D3","J33-","Monoraphidium","D3","Sanger","#FDC086",1,1,TRUE,1,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter-Flavimobilis"
"23","1_D3","ASV14442",1,2,"1D3","J1-","Chlorella","D3","Sanger","#7FC97F",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Niveispirillum"
"24","1point1D31","ASV00124",2606,1,"1_1D31","J1-","Chlorella","D31","Miseq","#7FC97F",8363,0.311610666028937,TRUE,2831,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"25","28_D3","ASV14443",1,52,"28D3","J5-","Chlorella","D3","Sanger","#7FC97F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"26","31D31","ASV00251",206,64,"31D31","J8-","Chlorella","D31","Miseq","#7FC97F",239,0.861924686192469,TRUE,558,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
