"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"A1",2,"SPL1",2019-11-11 12:15:31
"B1",4,"SPL2",2019-11-11 12:15:31
"C1",2,"SPL3",2019-11-11 12:15:31
"D1",1,"SPL4",2019-11-11 12:15:31
"E1",3,"SPL5",2019-11-11 12:15:31
"F1",3,"SPL6",2019-11-11 12:15:31
"G1",1,"SPL7",2019-11-11 12:15:31
"H1",2,"SPL8",2019-11-11 12:15:31
"A2",1,"SPL9",2019-11-11 12:15:31
"B2",461,"SPL10",2019-11-11 12:15:31
"C2",403,"SPL11",2019-11-11 12:15:31
"D2",418,"SPL12",2019-11-11 12:15:31
"E2",70,"SPL13",2019-11-11 12:15:31
"F2",58,"SPL14",2019-11-11 12:15:31
"G2",60,"SPL15",2019-11-11 12:15:31
"H2",2,"SPL16",2019-11-11 12:15:31
"A3",4,"SPL17",2019-11-11 12:15:31
"B3",34,"SPL18",2019-11-11 12:15:31
"C3",46,"SPL19",2019-11-11 12:15:31
"D3",35,"SPL20",2019-11-11 12:15:31
"E3",52,"SPL21",2019-11-11 12:15:31
"F3",46,"SPL22",2019-11-11 12:15:31
"G3",42,"SPL23",2019-11-11 12:15:31
"H3",1,"SPL24",2019-11-11 12:15:31
"A4",2,"SPL25",2019-11-11 12:15:31
"B4",54,"SPL26",2019-11-11 12:15:31
"C4",60,"SPL27",2019-11-11 12:15:31
"D4",61,"SPL28",2019-11-11 12:15:31
"E4",83,"SPL29",2019-11-11 12:15:31
"F4",80,"SPL30",2019-11-11 12:15:31
"G4",46,"SPL31",2019-11-11 12:15:31
"H4",3,"SPL32",2019-11-11 12:15:31
"A5",2,"SPL33",2019-11-11 12:15:31
"B5",60,"SPL34",2019-11-11 12:15:31
"C5",75,"SPL35",2019-11-11 12:15:31
"D5",57,"SPL36",2019-11-11 12:15:31
"E5",2,"SPL37",2019-11-11 12:15:31
"F5",2,"SPL38",2019-11-11 12:15:31
"G5",1,"SPL39",2019-11-11 12:15:31
"H5",2,"SPL40",2019-11-11 12:15:31
"A6",3,"SPL41",2019-11-11 12:15:31
"B6",46,"SPL42",2019-11-11 12:15:31
"C6",58,"SPL43",2019-11-11 12:15:31
"D6",51,"SPL44",2019-11-11 12:15:31
"E6",74,"SPL45",2019-11-11 12:15:31
"F6",82,"SPL46",2019-11-11 12:15:31
"G6",94,"SPL47",2019-11-11 12:15:31
"H6",2,"SPL48",2019-11-11 12:15:31
"A7",1,"SPL49",2019-11-11 12:15:31
"B7",42,"SPL50",2019-11-11 12:15:31
"C7",49,"SPL51",2019-11-11 12:15:31
"D7",44,"SPL52",2019-11-11 12:15:31
"E7",52,"SPL53",2019-11-11 12:15:31
"F7",79,"SPL54",2019-11-11 12:15:31
"G7",58,"SPL55",2019-11-11 12:15:31
"H7",2,"SPL56",2019-11-11 12:15:31
"A8",2,"SPL57",2019-11-11 12:15:31
"B8",62,"SPL58",2019-11-11 12:15:31
"C8",59,"SPL59",2019-11-11 12:15:31
"D8",67,"SPL60",2019-11-11 12:15:31
"E8",73,"SPL61",2019-11-11 12:15:31
"F8",65,"SPL62",2019-11-11 12:15:31
"G8",84,"SPL63",2019-11-11 12:15:31
"H8",2,"SPL64",2019-11-11 12:15:31
"A9",1,"SPL65",2019-11-11 12:15:31
"B9",54,"SPL66",2019-11-11 12:15:31
"C9",49,"SPL67",2019-11-11 12:15:31
"D9",91,"SPL68",2019-11-11 12:15:31
"E9",44,"SPL69",2019-11-11 12:15:31
"F9",53,"SPL70",2019-11-11 12:15:31
"G9",70,"SPL71",2019-11-11 12:15:31
"H9",1,"SPL72",2019-11-11 12:15:31
"A10",1,"SPL73",2019-11-11 12:15:31
"B10",49,"SPL74",2019-11-11 12:15:31
"C10",52,"SPL75",2019-11-11 12:15:31
"D10",60,"SPL76",2019-11-11 12:15:31
"E10",184,"SPL77",2019-11-11 12:15:31
"F10",182,"SPL78",2019-11-11 12:15:31
"G10",199,"SPL79",2019-11-11 12:15:31
"H10",2,"SPL80",2019-11-11 12:15:31
"A11",1,"SPL81",2019-11-11 12:15:31
"B11",46,"SPL82",2019-11-11 12:15:31
"C11",46,"SPL83",2019-11-11 12:15:31
"D11",51,"SPL84",2019-11-11 12:15:31
"E11",48,"SPL85",2019-11-11 12:15:31
"F11",0,"SPL86",2019-11-11 12:15:31
"G11",4,"SPL87",2019-11-11 12:15:31
"H11",1,"SPL88",2019-11-11 12:15:31
"A12",4,"SPL89",2019-11-11 12:15:31
"B12",1,"SPL90",2019-11-11 12:15:31
"C12",2,"SPL91",2019-11-11 12:15:31
"D12",1,"SPL92",2019-11-11 12:15:31
"E12",2,"SPL93",2019-11-11 12:15:31
"F12",2,"SPL94",2019-11-11 12:15:31
"G12",2,"SPL95",2019-11-11 12:15:31
"H12",0,"SPL96",2019-11-11 12:15:31
