"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",536,"SPL1",2019-11-15 11:50:54
"C2",498,"SPL2",2019-11-15 11:50:54
"D2",516,"SPL3",2019-11-15 11:50:54
"E2",384,"SPL4",2019-11-15 11:50:54
"F2",357,"SPL5",2019-11-15 11:50:54
"G2",350,"SPL6",2019-11-15 11:50:54
"B3",407,"SPL7",2019-11-15 11:50:54
"C3",407,"SPL8",2019-11-15 11:50:54
"D3",380,"SPL9",2019-11-15 11:50:54
"E3",516,"SPL10",2019-11-15 11:50:54
"F3",492,"SPL11",2019-11-15 11:50:54
"G3",464,"SPL12",2019-11-15 11:50:54
"B4",482,"SPL13",2019-11-15 11:50:54
"C4",485,"SPL14",2019-11-15 11:50:54
"D4",445,"SPL15",2019-11-15 11:50:54
"E4",682,"SPL16",2019-11-15 11:50:54
"F4",592,"SPL17",2019-11-15 11:50:54
"G4",659,"SPL18",2019-11-15 11:50:54
"B5",476,"SPL19",2019-11-15 11:50:54
"C5",630,"SPL20",2019-11-15 11:50:54
"D5",451,"SPL21",2019-11-15 11:50:54
"E5",3,"SPL22",2019-11-15 11:50:54
"F5",2,"SPL23",2019-11-15 11:50:54
"G5",2,"SPL24",2019-11-15 11:50:54
"B6",437,"SPL25",2019-11-15 11:50:54
"C6",425,"SPL26",2019-11-15 11:50:54
"D6",392,"SPL27",2019-11-15 11:50:54
"E6",286,"SPL28",2019-11-15 11:50:54
"F6",344,"SPL29",2019-11-15 11:50:54
"G6",292,"SPL30",2019-11-15 11:50:54
"B7",417,"SPL31",2019-11-15 11:50:54
"C7",405,"SPL32",2019-11-15 11:50:54
"D7",359,"SPL33",2019-11-15 11:50:54
"E7",243,"SPL34",2019-11-15 11:50:54
"F7",260,"SPL35",2019-11-15 11:50:54
"G7",218,"SPL36",2019-11-15 11:50:54
"B8",511,"SPL37",2019-11-15 11:50:54
"C8",472,"SPL38",2019-11-15 11:50:54
"D8",441,"SPL39",2019-11-15 11:50:54
"E8",463,"SPL40",2019-11-15 11:50:54
"F8",451,"SPL41",2019-11-15 11:50:54
"G8",484,"SPL42",2019-11-15 11:50:54
"B9",423,"SPL43",2019-11-15 11:50:54
"C9",421,"SPL44",2019-11-15 11:50:54
"D9",393,"SPL45",2019-11-15 11:50:54
"E9",284,"SPL46",2019-11-15 11:50:54
"F9",272,"SPL47",2019-11-15 11:50:54
"G9",318,"SPL48",2019-11-15 11:50:54
"B10",280,"SPL49",2019-11-15 11:50:54
"C10",303,"SPL50",2019-11-15 11:50:54
"D10",327,"SPL51",2019-11-15 11:50:54
"E10",139,"SPL52",2019-11-15 11:50:54
"F10",129,"SPL53",2019-11-15 11:50:54
"G10",148,"SPL54",2019-11-15 11:50:54
"B11",286,"SPL55",2019-11-15 11:50:54
"C11",271,"SPL56",2019-11-15 11:50:54
"D11",250,"SPL57",2019-11-15 11:50:54
"E11",243,"SPL58",2019-11-15 11:50:54
"F11",4,"SPL59",2019-11-15 11:50:54
"G11",2,"SPL60",2019-11-15 11:50:54
