Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,15DF
B3,17DF
B4,19DF
B5,21DF
B6,23DF
B7,25DF
B8,26DF
B9,28DF
B10,"30,1DF"
B11,AC
B12,MC
C1,MC
C2,15DF
C3,17DF
C4,19DF
C5,21DF
C6,23DF
C7,25DF
C8,26DF
C9,28DF
C10,"30,1DF"
C11,AC
C12,MC
D1,MC
D2,15DF
D3,17DF
D4,19DF
D5,21DF
D6,23DF
D7,25DF
D8,26DF
D9,28DF
D10,"30,1DF"
D11,AC
D12,MC
E1,MC
E2,16DF
E3,18DF
E4,20DF
E5,22DF
E6,24DF
E7,"25,1DF"
E8,27DF
E9,29DF
E10,31DF
E11,AC
E12,MC
F1,MC
F2,16DF
F3,18DF
F4,20DF
F5,22DF
F6,24DF
F7,"25,1DF"
F8,27DF
F9,29DF
F10,31DF
F11,MC
F12,MC
G1,MC
G2,16DF
G3,18DF
G4,20DF
G5,22DF
G6,24DF
G7,"25,1DF"
G8,27DF
G9,29DF
G10,31DF
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
