"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",440,"SPL1",2020-02-27 09:45:14
"C2",394,"SPL2",2020-02-27 09:45:14
"D2",461,"SPL3",2020-02-27 09:45:14
"E2",451,"SPL4",2020-02-27 09:45:14
"F2",423,"SPL5",2020-02-27 09:45:14
"G2",479,"SPL6",2020-02-27 09:45:14
"B3",448,"SPL7",2020-02-27 09:45:14
"C3",440,"SPL8",2020-02-27 09:45:14
"D3",398,"SPL9",2020-02-27 09:45:14
"E3",451,"SPL10",2020-02-27 09:45:14
"F3",486,"SPL11",2020-02-27 09:45:14
"G3",472,"SPL12",2020-02-27 09:45:14
"B4",407,"SPL13",2020-02-27 09:45:14
"C4",412,"SPL14",2020-02-27 09:45:14
"D4",400,"SPL15",2020-02-27 09:45:14
"E4",442,"SPL16",2020-02-27 09:45:14
"F4",408,"SPL17",2020-02-27 09:45:14
"G4",446,"SPL18",2020-02-27 09:45:14
"B5",470,"SPL19",2020-02-27 09:45:14
"C5",414,"SPL20",2020-02-27 09:45:14
"D5",444,"SPL21",2020-02-27 09:45:14
"E5",457,"SPL22",2020-02-27 09:45:14
"F5",492,"SPL23",2020-02-27 09:45:14
"G5",496,"SPL24",2020-02-27 09:45:14
"B6",497,"SPL25",2020-02-27 09:45:14
"C6",524,"SPL26",2020-02-27 09:45:14
"D6",470,"SPL27",2020-02-27 09:45:14
"E6",445,"SPL28",2020-02-27 09:45:14
"F6",487,"SPL29",2020-02-27 09:45:14
"G6",530,"SPL30",2020-02-27 09:45:14
"B7",473,"SPL31",2020-02-27 09:45:14
"C7",483,"SPL32",2020-02-27 09:45:14
"D7",535,"SPL33",2020-02-27 09:45:14
"E7",431,"SPL34",2020-02-27 09:45:14
"F7",466,"SPL35",2020-02-27 09:45:14
"G7",453,"SPL36",2020-02-27 09:45:14
"B8",430,"SPL37",2020-02-27 09:45:14
"C8",441,"SPL38",2020-02-27 09:45:14
"D8",457,"SPL39",2020-02-27 09:45:14
"E8",451,"SPL40",2020-02-27 09:45:14
"F8",473,"SPL41",2020-02-27 09:45:14
"G8",499,"SPL42",2020-02-27 09:45:14
"B9",436,"SPL43",2020-02-27 09:45:14
"C9",376,"SPL44",2020-02-27 09:45:14
"D9",440,"SPL45",2020-02-27 09:45:14
"E9",480,"SPL46",2020-02-27 09:45:14
"F9",460,"SPL47",2020-02-27 09:45:14
"G9",552,"SPL48",2020-02-27 09:45:14
"B10",512,"SPL49",2020-02-27 09:45:14
"C10",549,"SPL50",2020-02-27 09:45:14
"D10",477,"SPL51",2020-02-27 09:45:14
"E10",472,"SPL52",2020-02-27 09:45:14
"F10",550,"SPL53",2020-02-27 09:45:14
"G10",503,"SPL54",2020-02-27 09:45:14
"B11",486,"SPL55",2020-02-27 09:45:14
"C11",1306,"SPL56",2020-02-27 09:45:14
"D11",490,"SPL57",2020-02-27 09:45:14
"E11",472,"SPL58",2020-02-27 09:45:14
"F11",1,"SPL59",2020-02-27 09:45:14
"G11",2,"SPL60",2020-02-27 09:45:14
