Well,Isolate
B2,235D3
B3,235D3
B4,235D3
B5,208D3
B6,208D3
B7,208D3
B8,231D3
B9,231D3
B10,231D3
B11,AC
C2,241D3
C3,241D3
C4,241D3
C5,"142,1DF"
C6,"142,1DF"
C7,"142,1DF"
C8,247D3
C9,247D3
C10,247D3
C11,AC
D2,146DF
D3,146DF
D4,146DF
D5,219D3
D6,219D3
D7,219D3
D8,222D3
D9,222D3
D10,222D3
D11,AC
E2,215D3
E3,215D3
E4,215D3
E5,245D3
E6,245D3
E7,245D3
E8,151DF
E9,151DF
E10,151DF
E11,AC
F2,131DF
F3,131DF
F4,131DF
F5,"140,1DF"
F6,"140,1DF"
F7,"140,1DF"
F8,225D3
F9,225D3
F10,225D3
F11,MC
G2,239D3
G3,239D3
G4,239D3
G5,132DF
G6,132DF
G7,132DF
G8,147DF
G9,147DF
G10,147DF
G11,MC
