Well,Isolate
B2,224D3
B3,224D3
B4,224D3
B5,204D3
B6,204D3
B7,204D3
B8,127DF
B9,127DF
B10,127DF
B11,AC
C2,128DF
C3,128DF
C4,128DF
C5,125DF
C6,125DF
C7,125DF
C8,248D3
C9,248D3
C10,248D3
C11,AC
D2,234D3
D3,234D3
D4,234D3
D5,"150,1DF"
D6,"150,1DF"
D7,"150,1DF"
D8,"141,1DF"
D9,"141,1DF"
D10,"141,1DF"
D11,AC
E2,135DF
E3,135DF
E4,135DF
E5,213D3
E6,213D3
E7,213D3
E8,138DF
E9,138DF
E10,138DF
E11,AC
F2,130DF
F3,130DF
F4,130DF
F5,136DF
F6,136DF
F7,136DF
F8,243D3
F9,243D3
F10,243D3
F11,MC
G2,"136,1DF"
G3,"136,1DF"
G4,"136,1DF"
G5,"143,1DF"
G6,"143,1DF"
G7,"143,1DF"
G8,205D3
G9,205D3
G10,205D3
G11,MC
