"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",497,"SPL1",2021-03-06 20:54:09
"C2",327,"SPL2",2021-03-06 20:54:09
"D2",523,"SPL3",2021-03-06 20:54:09
"E2",364,"SPL4",2021-03-06 20:54:09
"F2",85,"SPL5",2021-03-06 20:54:09
"G2",507,"SPL6",2021-03-06 20:54:09
"B3",491,"SPL7",2021-03-06 20:54:09
"C3",405,"SPL8",2021-03-06 20:54:09
"D3",445,"SPL9",2021-03-06 20:54:09
"E3",370,"SPL10",2021-03-06 20:54:09
"F3",302,"SPL11",2021-03-06 20:54:09
"G3",462,"SPL12",2021-03-06 20:54:09
"B4",448,"SPL13",2021-03-06 20:54:09
"C4",463,"SPL14",2021-03-06 20:54:09
"D4",422,"SPL15",2021-03-06 20:54:09
"E4",364,"SPL16",2021-03-06 20:54:09
"F4",293,"SPL17",2021-03-06 20:54:09
"G4",490,"SPL18",2021-03-06 20:54:09
"B5",519,"SPL19",2021-03-06 20:54:09
"C5",274,"SPL20",2021-03-06 20:54:09
"D5",493,"SPL21",2021-03-06 20:54:09
"E5",507,"SPL22",2021-03-06 20:54:09
"F5",492,"SPL23",2021-03-06 20:54:09
"G5",444,"SPL24",2021-03-06 20:54:09
"B6",513,"SPL25",2021-03-06 20:54:09
"C6",228,"SPL26",2021-03-06 20:54:09
"D6",465,"SPL27",2021-03-06 20:54:09
"E6",565,"SPL28",2021-03-06 20:54:09
"F6",500,"SPL29",2021-03-06 20:54:09
"G6",465,"SPL30",2021-03-06 20:54:09
"B7",490,"SPL31",2021-03-06 20:54:09
"C7",254,"SPL32",2021-03-06 20:54:09
"D7",444,"SPL33",2021-03-06 20:54:09
"E7",514,"SPL34",2021-03-06 20:54:09
"F7",456,"SPL35",2021-03-06 20:54:09
"G7",429,"SPL36",2021-03-06 20:54:09
"B8",115,"SPL37",2021-03-06 20:54:09
"C8",389,"SPL38",2021-03-06 20:54:09
"D8",529,"SPL39",2021-03-06 20:54:09
"E8",449,"SPL40",2021-03-06 20:54:09
"F8",426,"SPL41",2021-03-06 20:54:09
"G8",503,"SPL42",2021-03-06 20:54:09
"B9",215,"SPL43",2021-03-06 20:54:09
"C9",421,"SPL44",2021-03-06 20:54:09
"D9",500,"SPL45",2021-03-06 20:54:09
"E9",467,"SPL46",2021-03-06 20:54:09
"F9",419,"SPL47",2021-03-06 20:54:09
"G9",519,"SPL48",2021-03-06 20:54:09
"B10",231,"SPL49",2021-03-06 20:54:09
"C10",388,"SPL50",2021-03-06 20:54:09
"D10",498,"SPL51",2021-03-06 20:54:09
"E10",457,"SPL52",2021-03-06 20:54:09
"F10",397,"SPL53",2021-03-06 20:54:09
"G10",495,"SPL54",2021-03-06 20:54:09
"B11",435,"SPL55",2021-03-06 20:54:09
"C11",416,"SPL56",2021-03-06 20:54:09
"D11",388,"SPL57",2021-03-06 20:54:09
"E11",386,"SPL58",2021-03-06 20:54:09
"F11",1.44,"SPL59",2021-03-06 20:54:09
"G11",2.33,"SPL60",2021-03-06 20:54:09
