"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",26,"SPL1",2021-02-02 10:22:15
"C2",27,"SPL2",2021-02-02 10:22:15
"D2",25,"SPL3",2021-02-02 10:22:15
"E2",24,"SPL4",2021-02-02 10:22:15
"F2",24,"SPL5",2021-02-02 10:22:15
"G2",21,"SPL6",2021-02-02 10:22:15
"B3",29,"SPL7",2021-02-02 10:22:15
"C3",30,"SPL8",2021-02-02 10:22:15
"D3",25,"SPL9",2021-02-02 10:22:15
"E3",28,"SPL10",2021-02-02 10:22:15
"F3",27,"SPL11",2021-02-02 10:22:15
"G3",26,"SPL12",2021-02-02 10:22:15
"B4",27,"SPL13",2021-02-02 10:22:15
"C4",31,"SPL14",2021-02-02 10:22:15
"D4",28,"SPL15",2021-02-02 10:22:15
"E4",29,"SPL16",2021-02-02 10:22:15
"F4",28,"SPL17",2021-02-02 10:22:15
"G4",29,"SPL18",2021-02-02 10:22:15
"B5",29,"SPL19",2021-02-02 10:22:15
"C5",29,"SPL20",2021-02-02 10:22:15
"D5",26,"SPL21",2021-02-02 10:22:15
"E5",29,"SPL22",2021-02-02 10:22:15
"F5",24,"SPL23",2021-02-02 10:22:15
"G5",27,"SPL24",2021-02-02 10:22:15
"B6",29,"SPL25",2021-02-02 10:22:15
"C6",25,"SPL26",2021-02-02 10:22:15
"D6",32,"SPL27",2021-02-02 10:22:15
"E6",27,"SPL28",2021-02-02 10:22:15
"F6",25,"SPL29",2021-02-02 10:22:15
"G6",29,"SPL30",2021-02-02 10:22:15
"B7",25,"SPL31",2021-02-02 10:22:15
"C7",29,"SPL32",2021-02-02 10:22:15
"D7",26,"SPL33",2021-02-02 10:22:15
"E7",25,"SPL34",2021-02-02 10:22:15
"F7",30,"SPL35",2021-02-02 10:22:15
"G7",28,"SPL36",2021-02-02 10:22:15
"B8",24,"SPL37",2021-02-02 10:22:15
"C8",30,"SPL38",2021-02-02 10:22:15
"D8",25,"SPL39",2021-02-02 10:22:15
"E8",26,"SPL40",2021-02-02 10:22:15
"F8",26,"SPL41",2021-02-02 10:22:15
"G8",24,"SPL42",2021-02-02 10:22:15
"B9",27,"SPL43",2021-02-02 10:22:15
"C9",28,"SPL44",2021-02-02 10:22:15
"D9",27,"SPL45",2021-02-02 10:22:15
"E9",27,"SPL46",2021-02-02 10:22:15
"F9",27,"SPL47",2021-02-02 10:22:15
"G9",24,"SPL48",2021-02-02 10:22:15
"B10",25,"SPL49",2021-02-02 10:22:15
"C10",26,"SPL50",2021-02-02 10:22:15
"D10",25,"SPL51",2021-02-02 10:22:15
"E10",23,"SPL52",2021-02-02 10:22:15
"F10",25,"SPL53",2021-02-02 10:22:15
"G10",26,"SPL54",2021-02-02 10:22:15
"B11",23,"SPL55",2021-02-02 10:22:15
"C11",24,"SPL56",2021-02-02 10:22:15
"D11",23,"SPL57",2021-02-02 10:22:15
"E11",25,"SPL58",2021-02-02 10:22:15
"F11",2,"SPL59",2021-02-02 10:22:15
"G11",3,"SPL60",2021-02-02 10:22:15
