"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",520,"SPL1",2021-02-14 08:38:06
"C2",521,"SPL2",2021-02-14 08:38:06
"D2",585,"SPL3",2021-02-14 08:38:06
"E2",518,"SPL4",2021-02-14 08:38:06
"F2",511,"SPL5",2021-02-14 08:38:06
"G2",558,"SPL6",2021-02-14 08:38:06
"B3",556,"SPL7",2021-02-14 08:38:06
"C3",528,"SPL8",2021-02-14 08:38:06
"D3",547,"SPL9",2021-02-14 08:38:06
"E3",512,"SPL10",2021-02-14 08:38:06
"F3",502,"SPL11",2021-02-14 08:38:06
"G3",553,"SPL12",2021-02-14 08:38:06
"B4",569,"SPL13",2021-02-14 08:38:06
"C4",555,"SPL14",2021-02-14 08:38:06
"D4",572,"SPL15",2021-02-14 08:38:06
"E4",568,"SPL16",2021-02-14 08:38:06
"F4",583,"SPL17",2021-02-14 08:38:06
"G4",551,"SPL18",2021-02-14 08:38:06
"B5",592,"SPL19",2021-02-14 08:38:06
"C5",585,"SPL20",2021-02-14 08:38:06
"D5",562,"SPL21",2021-02-14 08:38:06
"E5",690,"SPL22",2021-02-14 08:38:06
"F5",529,"SPL23",2021-02-14 08:38:06
"G5",520,"SPL24",2021-02-14 08:38:06
"B6",585,"SPL25",2021-02-14 08:38:06
"C6",614,"SPL26",2021-02-14 08:38:06
"D6",598,"SPL27",2021-02-14 08:38:06
"E6",610,"SPL28",2021-02-14 08:38:06
"F6",555,"SPL29",2021-02-14 08:38:06
"G6",571,"SPL30",2021-02-14 08:38:06
"B7",635,"SPL31",2021-02-14 08:38:06
"C7",633,"SPL32",2021-02-14 08:38:06
"D7",626,"SPL33",2021-02-14 08:38:06
"E7",621,"SPL34",2021-02-14 08:38:06
"F7",532,"SPL35",2021-02-14 08:38:06
"G7",589,"SPL36",2021-02-14 08:38:06
"B8",592,"SPL37",2021-02-14 08:38:06
"C8",563,"SPL38",2021-02-14 08:38:06
"D8",517,"SPL39",2021-02-14 08:38:06
"E8",655,"SPL40",2021-02-14 08:38:06
"F8",513,"SPL41",2021-02-14 08:38:06
"G8",619,"SPL42",2021-02-14 08:38:06
"B9",557,"SPL43",2021-02-14 08:38:06
"C9",578,"SPL44",2021-02-14 08:38:06
"D9",537,"SPL45",2021-02-14 08:38:06
"E9",655,"SPL46",2021-02-14 08:38:06
"F9",568,"SPL47",2021-02-14 08:38:06
"G9",565,"SPL48",2021-02-14 08:38:06
"B10",527,"SPL49",2021-02-14 08:38:06
"C10",555,"SPL50",2021-02-14 08:38:06
"D10",533,"SPL51",2021-02-14 08:38:06
"E10",521,"SPL52",2021-02-14 08:38:06
"F10",528,"SPL53",2021-02-14 08:38:06
"G10",500,"SPL54",2021-02-14 08:38:06
"B11",529,"SPL55",2021-02-14 08:38:06
"C11",508,"SPL56",2021-02-14 08:38:06
"D11",505,"SPL57",2021-02-14 08:38:06
"E11",472,"SPL58",2021-02-14 08:38:06
"F11",1.67,"SPL59",2021-02-14 08:38:06
"G11",2.33,"SPL60",2021-02-14 08:38:06
