Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,MC
B3,AC
B4,124D3
B5,114D3
B6,96D3
B7,131D3
B8,129D3
B9,124D3
B10,122D3
B11,119D3
B12,MC
C1,MC
C2,MC
C3,AC
C4,124D3
C5,114D3
C6,96D3
C7,131D3
C8,129D3
C9,124D3
C10,122D3
C11,119D3
C12,MC
D1,MC
D2,AC
D3,AC
D4,124D3
D5,114D3
D6,96D3
D7,131D3
D8,129D3
D9,124D3
D10,122D3
D11,119D3
D12,MC
E1,MC
E2,AC
E3,AC
E4,119D3
E5,105D3
E6,94D3
E7,130D3
E8,127.1D3
E9,123D3
E10,120D3
E11,118D3
E12,MC
F1,MC
F2,AC
F3,AC
F4,119D3
F5,105D3
F6,94D3
F7,130D3
F8,127.1D3
F9,123D3
F10,120D3
F11,118D3
F12,MC
G1,MC
G2,AC
G3,AC
G4,119D3
G5,105D3
G6,94D3
G7,130D3
G8,127.1D3
G9,123D3
G10,120D3
G11,118D3
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
