"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",155,"SPL1",2019-12-16 13:04:14
"C2",157,"SPL2",2019-12-16 13:04:14
"D2",190,"SPL3",2019-12-16 13:04:14
"E2",178,"SPL4",2019-12-16 13:04:14
"F2",174,"SPL5",2019-12-16 13:04:14
"G2",172,"SPL6",2019-12-16 13:04:14
"B3",212,"SPL7",2019-12-16 13:04:14
"C3",197,"SPL8",2019-12-16 13:04:14
"D3",189,"SPL9",2019-12-16 13:04:14
"E3",128,"SPL10",2019-12-16 13:04:14
"F3",132,"SPL11",2019-12-16 13:04:14
"G3",126,"SPL12",2019-12-16 13:04:14
"B4",189,"SPL13",2019-12-16 13:04:14
"C4",169,"SPL14",2019-12-16 13:04:14
"D4",173,"SPL15",2019-12-16 13:04:14
"E4",165,"SPL16",2019-12-16 13:04:14
"F4",150,"SPL17",2019-12-16 13:04:14
"G4",160,"SPL18",2019-12-16 13:04:14
"B5",113,"SPL19",2019-12-16 13:04:14
"C5",176,"SPL20",2019-12-16 13:04:14
"D5",141,"SPL21",2019-12-16 13:04:14
"E5",183,"SPL22",2019-12-16 13:04:14
"F5",169,"SPL23",2019-12-16 13:04:14
"G5",171,"SPL24",2019-12-16 13:04:14
"B6",135,"SPL25",2019-12-16 13:04:14
"C6",129,"SPL26",2019-12-16 13:04:14
"D6",2,"SPL27",2019-12-16 13:04:14
"E6",169,"SPL28",2019-12-16 13:04:14
"F6",159,"SPL29",2019-12-16 13:04:14
"G6",165,"SPL30",2019-12-16 13:04:14
"B7",145,"SPL31",2019-12-16 13:04:14
"C7",121,"SPL32",2019-12-16 13:04:14
"D7",61,"SPL33",2019-12-16 13:04:14
"E7",155,"SPL34",2019-12-16 13:04:14
"F7",156,"SPL35",2019-12-16 13:04:14
"G7",162,"SPL36",2019-12-16 13:04:14
"B8",164,"SPL37",2019-12-16 13:04:14
"C8",183,"SPL38",2019-12-16 13:04:14
"D8",163,"SPL39",2019-12-16 13:04:14
"E8",201,"SPL40",2019-12-16 13:04:14
"F8",215,"SPL41",2019-12-16 13:04:14
"G8",219,"SPL42",2019-12-16 13:04:14
"B9",193,"SPL43",2019-12-16 13:04:14
"C9",177,"SPL44",2019-12-16 13:04:14
"D9",159,"SPL45",2019-12-16 13:04:14
"E9",144,"SPL46",2019-12-16 13:04:14
"F9",146,"SPL47",2019-12-16 13:04:14
"G9",176,"SPL48",2019-12-16 13:04:14
"B10",196,"SPL49",2019-12-16 13:04:14
"C10",175,"SPL50",2019-12-16 13:04:14
"D10",174,"SPL51",2019-12-16 13:04:14
"E10",141,"SPL52",2019-12-16 13:04:14
"F10",144,"SPL53",2019-12-16 13:04:14
"G10",142,"SPL54",2019-12-16 13:04:14
"B11",126,"SPL55",2019-12-16 13:04:14
"C11",114,"SPL56",2019-12-16 13:04:14
"D11",113,"SPL57",2019-12-16 13:04:14
"E11",115,"SPL58",2019-12-16 13:04:14
"F11",1,"SPL59",2019-12-16 13:04:14
"G11",2,"SPL60",2019-12-16 13:04:14
