Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,87D3
B3,91D3
B4,94D3
B5,98D3
B6,101D3
B7,103D3
B8,105D3
B9,113D3
B10,115D3
B11,AC
B12,MC
C1,MC
C2,87D3
C3,91D3
C4,94D3
C5,98D3
C6,101D3
C7,103D3
C8,105D3
C9,113D3
C10,115D3
C11,AC
C12,MC
D1,MC
D2,87D3
D3,91D3
D4,94D3
D5,98D3
D6,101D3
D7,103D3
D8,105D3
D9,113D3
D10,115D3
D11,AC
D12,MC
E1,MC
E2,88D3
E3,92D3
E4,96D3
E5,100D3
E6,102D3
E7,104D3
E8,106D3
E9,114D3
E10,117D3
E11,AC
E12,MC
F1,MC
F2,88D3
F3,92D3
F4,96D3
F5,100D3
F6,102D3
F7,104D3
F8,106D3
F9,114D3
F10,117D3
F11,MC
F12,MC
G1,MC
G2,88D3
G3,92D3
G4,96D3
G5,100D3
G6,102D3
G7,104D3
G8,106D3
G9,114D3
G10,117D3
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
